stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,257.44,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,15.77,2.63,0,10.51,0,0,18.4,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,149.84,5.26,0,0,81.49,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,40.91,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,217.14,6.29,0,0,62.94,0,0,12.59,0,0,0,0,0,0,0
 14-21,1,0,2,1,33,8,9,0,0,0,2,0,0,0,0,4,0,0,0,0,9,0,0,11,146,1,2,3,2,3,19,5,1,17,46,0,3,0,0
 24-34,0,0,0,0,4.93,0,6.57,0,1.64,0,2.46,0,0,0.82,0.82,0,0,0.82,0,0,4.93,0.82,0,2.46,72.24,0,1.64,0,0,6.57,0,0.82,0.82,4.93,27.09,0,1.64,0,0.82
 36-46,0,0,0,0,0.81,0,11.28,0.81,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,1.61,68.48,0,3.22,0.81,0,4.83,0,0.81,0,0,11.28,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,19.51,0.57,0.57,0,5.74,0.57,0,0,0,0.57,0,0.57,0,0,6.89,0.57,0,1.15,63.69,0.57,2.87,0,0,2.87,0,0.57,0.57,0,8.61,0,2.3,0,0.57
 60-70,0,0,0,0,2.94,0.98,57.91,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,5.89,0.98,0,0,51.04,0,0.98,0,0,10.8,0,0,0,0,10.8,0,0,0,0.98
 72-82,0,0,0,0,0.98,5.89,41.23,0,0,0.98,5.89,0.98,0,0,1.96,0,0,0,0,0,11.78,0.98,0,0.98,59.88,0,2.94,0.98,0,2.94,0,0,0,0,2.94,0.98,1.96,0,0.98
 84-94,0,0,1.06,0,0,3.19,35.05,1.06,2.12,0,3.19,3.19,0,0,5.31,3.19,1.06,2.12,0,1.06,5.31,0,1.06,0,23.36,1.06,2.12,2.12,0,15.93,0,2.12,0,0,2.12,3.19,2.12,0,1.06
 96-106,0,0,1.09,0,7.65,6.56,40.44,0,1.09,1.09,9.84,3.28,0,1.09,2.19,5.46,0,1.09,0,1.09,12.02,1.09,0,1.09,38.25,0,8.74,4.37,0,4.37,0,0,0,0,0,0,3.28,0,1.09
108-118,0,0,2.3,0,5.36,4.6,20.68,0.77,1.53,0.77,3.83,2.3,0,0.77,4.6,1.53,0.77,0,0.77,1.53,8.43,0,0,1.53,39.83,0.77,1.53,0,0,4.6,0,0,0,0,1.53,3.06,3.06,0,1.53
120,0,0,0,0,3.92,9.8,15.68,0,0,1.96,0,0,0,0,9.8,0,1.96,1.96,0,0,3.92,0,0,5.88,31.36,0,1.96,1.96,0,9.8,0,0,0,0,0,1.96,3.92,1.96,1.96
