stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,40,0,0,0,0,0,5,2,1,0,4,12,0,0,0,0,0
 24-34,0,0,0.82,0,4.1,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,1.64,4.1,0,4.1,121.49,0.82,1.64,2.46,0,0.82,10.67,0,0.82,0.82,1.64,22.98,0,0,2.46,0,0
 36-46,0,0,0,0,2.42,0,0,24.98,0,0,0,4.03,0,0,0,0,0,0,0.81,0.81,0,6.45,0,1.61,194.97,0,1.61,0.81,0,0,10.47,0,0,0,0.81,44.31,0,0,0,0,1.61
 48-58,0,0,0.57,0,2.87,0,0,48.2,0,0.57,0.57,9.18,0,0,0.57,1.15,1.15,0,0,1.15,2.87,19.51,1.15,4.02,265.1,0.57,2.87,1.72,0,0,10.33,0.57,1.72,0.57,0,48.2,0,0.57,1.72,0,2.87
 60-70,0,0,0.98,0.98,4.91,0,0,84.41,1.96,0.98,0.98,12.76,0.98,0,0.98,0.98,0,0,0,0,0.98,19.63,0,1.96,464.26,0,3.93,0.98,0,0,11.78,0,0,0,0,51.04,0,0,0.98,0.98,0.98
 72-82,0,0,3.93,0,9.82,0,0,84.42,0,0.98,2.94,34.36,4.91,0,1.96,3.93,0.98,0.98,1.96,0.98,0,51.05,1.96,9.82,465.31,0.98,8.83,2.94,0,0,15.71,0,0.98,0,0,29.45,0,0.98,8.83,0.98,0
 84-94,0,0,2.12,1.06,11.68,1.06,0,76.47,2.12,3.19,3.19,15.93,3.19,1.06,1.06,9.56,0,2.12,1.06,1.06,2.12,25.49,1.06,2.12,241.08,0,5.31,0,0,0,41.42,0,3.19,1.06,0,13.81,1.06,1.06,2.12,1.06,0
 96-106,0,0,1.09,1.09,10.93,1.09,1.09,59.01,0,3.28,2.19,24.04,4.37,0,0,2.19,3.28,2.19,0,0,1.09,25.14,1.09,3.28,208.73,0,12.02,2.19,0,0,33.88,0,0,0,0,10.93,1.09,1.09,5.46,2.19,1.09
108-118,0,0,0.77,0,13.79,3.06,2.3,42.89,0.77,3.06,1.53,17.62,6.89,0,0.77,6.13,2.3,2.3,1.53,1.53,2.3,17.62,0.77,6.89,229.79,1.53,2.3,5.36,0,0,41.36,0,0,2.3,0,5.36,1.53,0.77,3.06,1.53,2.3
120,0,0,0,0,41.16,1.96,1.96,39.2,0,1.96,5.88,19.6,5.88,0,0,11.76,3.92,0,1.96,3.92,1.96,21.56,5.88,5.88,319.45,3.92,11.76,7.84,0,1.96,29.4,0,0,0,0,9.8,1.96,0,5.88,0,1.96
