stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,11,1,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,39,0,0,0,0,0,1,4,0,0,0,11,0,0,1,0,0
 24-34,0,0,10.67,1.64,4.93,0.82,0,7.39,0,0,0,2.46,1.64,0,0,0.82,0,0,0,0,0,9.85,0,0,0.82,82.09,0.82,0,0,0,6.57,0,1.64,2.46,2.46,0.82,16.42,0,0,9.85,0,0
 36-46,0,0,8.86,0,2.42,0,0,12.89,0,0,1.61,0.81,0,0,0,0,0,0,0,0,1.61,9.67,0,0,0.81,79.76,0.81,0,1.61,0,6.45,0,0,0,0,0,20.95,0,0,2.42,0,0
 48-58,0,0,6.31,0,4.02,1.15,0,52.22,0,0,0,8.61,0,0,0,0.57,0,0,1.15,0.57,0.57,18.94,1.15,0.57,3.44,108.45,0.57,1.72,1.15,0,4.59,0,0,0.57,0,0,24.1,0,0,2.87,0,2.87
 60-70,0,0,1.96,0,2.94,0,0,31.41,0,0,0.98,7.85,0,0,0,0,0,0,0,0,0,16.69,0,0,1.96,60.85,2.94,0,0.98,0,2.94,0,0,0,0.98,0,13.74,0,0,2.94,0,0
 72-82,0,0,3.93,0,5.89,2.94,0,46.14,0.98,0,0.98,15.71,0,0,0,0.98,0.98,1.96,1.96,0,0,17.67,0.98,0.98,3.93,60.86,0,0.98,0.98,0.98,5.89,0,0,1.96,0,0,3.93,0,0,3.93,0.98,4.91
 84-94,0,0,6.37,0,6.37,3.19,1.06,35.05,1.06,2.12,0,4.25,0,0,0,3.19,1.06,0,1.06,0,1.06,12.74,1.06,0,1.06,35.05,1.06,0,2.12,0,10.62,0,0,2.12,0,0,0,0,0,2.12,2.12,0
 96-106,0,0,7.65,0,21.86,10.93,1.09,44.81,3.28,4.37,0,21.86,3.28,0,4.37,5.46,3.28,2.19,1.09,1.09,2.19,43.71,1.09,2.19,3.28,55.74,0,4.37,4.37,0,22.95,0,0,2.19,1.09,0,3.28,0,0,10.93,1.09,1.09
108-118,0,0,9.19,0,20.68,9.96,2.3,52.85,0,5.36,1.53,28.34,1.53,0,2.3,3.06,1.53,2.3,0.77,6.13,1.53,68.94,1.53,4.6,8.43,225.19,2.3,2.3,3.06,1.53,34.47,0,0,0.77,0,0,6.13,3.06,1.53,13.02,2.3,2.3
120,0,0,1.96,0,11.76,5.88,0,39.2,0,1.96,0,19.6,3.92,0,0,3.92,0,3.92,0,0,0,25.48,0,0,9.8,164.62,1.96,0,3.92,1.96,17.64,0,0,3.92,1.96,0,1.96,0,0,1.96,0,1.96
