stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,0,7.89,0,0,7.89,0,0,0,0,0,0,0,0,0,84.12,2.63,0,0,34.17,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,22,1,0,0,0,0,0,1,0,3,9,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,5.75,0,0.82,0,0,0,5.75,0,0,0.82,45.15,0,0,0.82,0,0.82,0,0,0,0,11.49,0,1.64,0,0
 36-46,0,0,0,0,0,3.22,11.28,0,4.03,0,0,0,4.03,0,0,1.61,24.17,0,0,0,0,0.81,0,0,0,0,9.67,0,0,0,0
 48-58,0,0,0,0,0.57,1.15,14.35,0,2.3,0,1.72,1.15,3.44,0.57,0,1.15,17.79,0,0.57,0,0,0,0,0,0,0,5.16,0,0,0,0
 60-70,0,0,0,0,0.98,0,6.87,0,0.98,0,0,0,5.89,0,0,0.98,7.85,0,0,0,0,0.98,0,0,0,0,2.94,0.98,0,0,0.98
 72-82,0,0,0,0,0,4.91,4.91,0.98,0,0,1.96,0,3.93,0,0.98,0,6.87,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,2.12,3.19,0,3.19,1.06,0,0,2.12,0,0,1.06,9.56,0,0,0,0,1.06,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,1.09,0,0,3.28,2.19,0,0,0,1.09,0,3.28,0,1.09,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,3.06,5.36,0,1.53,0,0.77,0,1.53,0,0,0,9.96,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,5.88,1.96,0,3.92,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0
