stage,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,lateral.line,mesenchyme,muscle,neural,otic,spinal.cord,vascular.smooth.muscle,vasculature
 24-34,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0
 36-46,0,0.81,0.81,0,1.61,0,0,0.81,0,25.78,0,7.25,0,0
 48-58,0,1.72,0,0,5.74,0,0,1.15,0,13.2,0,4.59,0,0
 60-70,0,0,0,0,4.91,0,0,10.8,0.98,20.61,0,5.89,0,0
 72-82,0,2.94,0,0.98,1.96,0.98,0,6.87,0,15.71,0.98,2.94,0,0.98
 84-94,0,0,0,0,0,1.06,1.06,7.43,0,8.5,0,2.12,0,0
 96-106,1.09,1.09,0,0,0,0,0,14.21,0,8.74,0,1.09,0,0
108-118,0,1.53,0,0,0,0,0,15.32,0.77,11.49,0,0,0.77,0
120,0,0,0,0,1.96,1.96,0,19.6,0,5.88,0,0,0,0
