stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,42,309,25,0,199,0,0,0,24,8,5,2,0,26,0,0,0,0,95,4,0,180,2082,49,19,5,38,0,10,4,388,2,65,1231,478,0,0,1,0,0
 24-34,0,2.46,22.16,95.22,1.64,0,160.07,0.82,9.03,4.1,46.79,9.03,3.28,9.85,0,64.85,2.46,6.57,5.75,0,129.7,9.85,0.82,107.53,3771.83,5.75,55.82,22.16,0,1.64,32.01,0,0.82,4.1,18.88,141.19,678.03,0,0,18.06,0,0
 36-46,0,0,1.61,29,1.61,0,274.73,3.22,8.06,8.06,134.55,7.25,1.61,8.06,0,14.5,4.83,5.64,2.42,3.22,125.68,4.83,4.03,58.01,3583.62,9.67,33.84,7.25,0,0,31.42,1.61,0,4.03,8.86,4.03,733.16,0,0.81,11.28,0,2.42
 48-58,0.57,0,0.57,28.12,0.57,0,569.21,8.61,12.62,10.33,181.32,4.02,3.44,6.31,0,12.05,6.89,3.44,2.87,0,171.57,2.3,10.9,47.63,2421.46,2.87,16.07,8.03,0,1.15,19.51,0.57,0,0,6.31,0,484.29,0,3.44,7.46,0,2.3
 60-70,0,0.98,0,41.22,0,0.98,858.83,11.78,19.63,6.87,226.73,1.96,1.96,5.89,2.94,13.74,3.93,6.87,5.89,0,219.86,1.96,17.67,40.24,2066.1,3.93,7.85,5.89,0,4.91,35.33,0,0,1.96,8.83,0,265.01,2.94,11.78,8.83,5.89,3.93
 72-82,0,2.94,0.98,58.9,6.87,0,638.08,13.74,19.63,3.93,263.09,6.87,2.94,6.87,0.98,26.5,2.94,12.76,2.94,0,239.53,6.87,25.52,32.39,1327.21,1.96,23.56,20.61,0.98,7.85,58.9,0.98,0,3.93,8.83,0,147.25,2.94,19.63,17.67,23.56,1.96
 84-94,0,3.19,1.06,83.9,4.25,0,465.17,9.56,28.68,8.5,176.3,18.05,6.37,2.12,2.12,42.48,15.93,8.5,2.12,1.06,161.43,14.87,26.55,28.68,722.19,6.37,19.12,20.18,0,2.12,137,0,0,5.31,9.56,0,83.9,3.19,14.87,18.05,20.18,1.06
 96-106,0,1.09,1.09,106.01,3.28,2.19,271.03,20.76,26.23,0,149.72,19.67,0,2.19,4.37,56.83,7.65,17.49,3.28,2.19,107.1,9.84,12.02,27.32,585.77,2.19,18.58,33.88,0,6.56,110.38,0,0,2.19,5.46,0,55.74,6.56,10.93,18.58,24.04,1.09
108-118,0,3.06,3.83,108.77,4.6,0.77,231.32,21.45,28.34,3.83,143.24,16.09,0,1.53,3.83,36,10.72,10.72,7.66,2.3,104.94,3.06,7.66,25.28,639.58,6.89,18.38,17.62,0,5.36,92.68,0.77,0,2.3,6.13,0,36.77,3.06,3.06,16.85,16.09,0
120,0,1.96,0,119.55,0,0,215.58,27.44,13.72,5.88,103.87,19.6,0,0,0,25.48,1.96,5.88,3.92,0,94.07,3.92,1.96,31.36,664.37,17.64,11.76,25.48,1.96,5.88,72.51,0,0,5.88,7.84,0,19.6,3.92,5.88,17.64,25.48,1.96
