stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0,4.1,0.82,0,1.64,0,0,0,0,0,0
 36-46,0.81,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,5.64,0,0,1.61,0,0,0,1.61,0,0
 48-58,0,0.57,2.3,0,0,1.15,0,0,0,0,0,2.87,0,0,1.15,10.9,0,0.57,1.15,0,0,0,2.3,0.57,0
 60-70,0.98,0,4.91,0,0,2.94,0,0,0,0,0,2.94,0,0,0.98,3.93,0,0,1.96,0,0.98,0,0,0,0
 72-82,0,2.94,18.65,0,0.98,5.89,0,0,0,0.98,0.98,6.87,0,0,0,38.28,0,0.98,5.89,0,0,0,6.87,0,0.98
 84-94,0,0,4.25,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,1.06,0,5.31,0,0,0,0,0,0
 96-106,0,4.37,0,0,0,0,1.09,1.09,0,0,0,2.19,0,0,0,2.19,0,1.09,9.84,0,0,0,1.09,1.09,0
108-118,0,0.77,0.77,1.53,0,2.3,0.77,0,0.77,0,0,3.83,0,0.77,0.77,3.06,0,0,8.43,0,0.77,0,0,0.77,0
120,0,9.8,3.92,1.96,0,5.88,1.96,1.96,0,0,0,3.92,1.96,0,0,9.8,1.96,0,7.84,1.96,0,0,1.96,0,0
