stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,1,2,0,1,0,0,0,0,1,0,0,1,3,0,0,0,17,0,0,0,0,7,0,0,1,9,0,0
 24-34,0,0.82,0,1.64,0,0,0.82,0,0.82,0,0.82,0,4.1,0,0,1.64,55,0,0.82,0.82,1.64,0,0,0,0,7.39,0.82,0
 36-46,0,0,0.81,10.47,0,3.22,0,0,0,0,0,0,6.45,0,0,0.81,58.81,0,0,1.61,0,0,0.81,0.81,0,11.28,0,0
 48-58,0,0,0,9.18,0,3.44,0,0,0,0,0,0,2.87,0,0.57,0,27.54,0.57,0,0,0,0,0,0,0,6.89,1.15,0.57
 60-70,0,1.96,0,22.58,0,3.93,0,0,0,0,0.98,0,7.85,0,0,0.98,53.98,0,0,0.98,0.98,0,0,0,0,5.89,0,0
 72-82,0,0.98,1.96,9.82,0.98,2.94,0,0,0,0,0,0,8.83,0.98,0.98,0,36.32,0,0,0.98,0.98,0,0,0,0,4.91,0,0.98
 84-94,0,1.06,0,6.37,0,4.25,0,0,0,0,0,0,4.25,0,0,0,12.74,0,0,1.06,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,3.28,0,2.19,0,1.09,1.09,0,0,0,6.56,0,0,0,5.46,1.09,1.09,0,2.19,0,0,0,0,0,0,0
108-118,0,0.77,0,3.83,0,1.53,0,0.77,0,2.3,0,0,2.3,0,0,0.77,15.32,0,0.77,0,0,0,0,0,0,0,0,0
120,0,1.96,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,21.56,0,1.96,0,0,0,0,0,0,0,0,0
