stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,226.8,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,7.89,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,173.5,10.51,0,0,39.43,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,6.29,25.18,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,147.91,3.15,0,0,62.94,0,3.15,9.44,3.15,0,0,0,0
 14-21,0,0,0,0,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,23,1,0,0,2,0,6,0,4,9,0,0,0
 24-34,0,0,0,0.82,0,0,5.75,0,0,0,2.46,0,0,0,0.82,0,0,0,0,5.75,0,0,1.64,76.34,0.82,0,0,0,0.82,0,0,1.64,18.88,0,0.82,0
 36-46,0,0,0,0,2.42,0,14.5,0,0,0.81,3.22,0,0,0,0,0,0,0,0,6.45,0,0,0,93.46,0,0,0.81,0,2.42,0,0,0,12.09,0,0,0.81
 48-58,0,0,0,0,1.15,0,16.07,0,0,0.57,4.59,0,0,0,0,0,0,0,0,2.87,0,0,1.15,53.94,0,1.15,0,0,0,0,0,0,11.48,0,1.72,0
 60-70,0,0,0,0,0.98,0,33.37,0.98,0,0,6.87,0,0,0,0,0,0,0,0.98,11.78,0,0,0,60.85,0,0,0,0,2.94,0,0,0,17.67,0,0.98,0
 72-82,0,0,0,0,1.96,0,23.56,0.98,0,0.98,4.91,0,0,0,0.98,0,0.98,0,0,13.74,0.98,0,0.98,44.17,0,0,0.98,0,1.96,0,0,0,4.91,0,0,0
 84-94,0,0,1.06,0,5.31,0,14.87,0,0,0,2.12,0,1.06,1.06,0,0,1.06,0,2.12,13.81,1.06,1.06,1.06,24.43,0,2.12,0,0,0,0,0,0,4.25,2.12,3.19,0
 96-106,0,0,0,0,1.09,1.09,10.93,0,0,0,5.46,0,0,0,1.09,0,0,1.09,0,5.46,0,0,1.09,20.76,0,1.09,2.19,0,1.09,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,2.3,0.77,8.43,0,0.77,0,3.06,1.53,0,0,0,0.77,0.77,0,0,5.36,0,1.53,1.53,25.28,0,0,1.53,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,5.88,1.96,7.84,0,1.96,0,7.84,0,0,5.88,0,0,0,0,0,9.8,0,0,1.96,15.68,0,0,1.96,0,5.88,0,0,0,1.96,0,0,0
