stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,8,3,0,0,0,0,0,0,0,4,0,0,16,0,0,14,2,0,0,1,0,8,0,1,1,0,1,0,0,0,1,0
 24-34,0.82,0.82,0,0.82,0,4.1,0,0,0,2.46,0.82,0,67.31,2.46,0,27.09,13.13,0.82,0,0.82,0,10.67,0,0,0,0,0.82,0,0,0,0,0
 36-46,0.81,0.81,0,0.81,0,17.72,0,0,0,0.81,0,0,111.18,0,0,38.67,8.86,0,0.81,0,0,7.25,0.81,0,0,0,0,2.42,0,0,0.81,0
 48-58,0.57,0,0,6.89,0,17.79,1.72,0,0.57,0.57,0,0,150.34,0.57,0.57,25.25,8.61,0,0,0,0.57,1.15,0,0,0,0,0,0,0,0,0,0
 60-70,0.98,0.98,0,19.63,0,21.59,0.98,0,0,1.96,0,0,211.03,0,1.96,19.63,13.74,0,0,0,1.96,3.93,0,0,0,0,0,0,0,0.98,0,0
 72-82,2.94,0.98,0,22.58,0,38.28,2.94,0.98,0,0.98,0,0,272.9,0.98,0.98,16.69,21.6,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0.98,0,1.96
 84-94,1.06,0,0,7.43,0,24.43,2.12,2.12,0,2.12,0,0,179.48,0,1.06,8.5,3.19,0,0,0,1.06,9.56,0,0,0,0,0,0,0,0,0,1.06
 96-106,3.28,2.19,1.09,9.84,0,14.21,2.19,0,0,5.46,2.19,1.09,143.16,0,1.09,12.02,7.65,0,0,0,0,9.84,0,0,0,1.09,0,0,1.09,1.09,0,1.09
108-118,1.53,0,2.3,8.43,0.77,12.26,3.06,0,0,1.53,0,0,110.3,0,2.3,6.89,7.66,0,0,0,0,2.3,0,0,0,1.53,0,0,0,0.77,0,0
120,3.92,0,0,5.88,0,15.68,0,0,1.96,3.92,0,0,68.59,0,1.96,3.92,1.96,0,0,0,0,5.88,0,0,0,0,0,0,1.96,1.96,0,0
