stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,5,0,9,13,0,1,0,0,7,413,909,12,0,1,0
 24-34,0,0.82,0,0,6.57,0.82,0,0,0.82,0.82,0,0.82,0.82,0,12.31,39.4,0.82,0,0,0,0,157.6,323.42,4.1,0,4.93,0
 36-46,0,0,0,0,4.83,0,0,0,0,0,0,0,1.61,0,11.28,4.83,0,0,0,0,0,25.78,8.06,4.03,0,9.67,0
 48-58,0,0,0,0,5.74,1.15,0,0,0,0,0,0,1.72,0,21.23,4.02,0,0,0.57,0.57,0,10.9,0,1.72,0,5.16,0
 60-70,0,0.98,0,1.96,28.46,0.98,0,0,0.98,0,0,0,1.96,0,25.52,0.98,0,0,0,0,0,11.78,0,0.98,0,8.83,0.98
 72-82,0,0,1.96,1.96,34.36,0.98,0,0.98,0.98,0,0,0,4.91,0,22.58,5.89,0,0,0,0,0,1.96,0,0.98,0,11.78,0
 84-94,0,0,0,0,42.48,0,0,1.06,1.06,0,0,0,2.12,0,18.05,4.25,0,0,0,1.06,0,5.31,0,0,0,5.31,0
 96-106,0,1.09,0,1.09,51.36,1.09,1.09,0,2.19,0,0,0,8.74,1.09,12.02,3.28,0,0,0,1.09,0,2.19,0,0,1.09,19.67,0
108-118,0,0,0,0.77,47.49,0,0.77,0,0.77,0,0.77,0.77,3.83,0,19.15,3.06,0,0,0,1.53,0,4.6,0,0,0.77,9.96,0
120,0,0,0,0,25.48,0,0,0,0,0,0,0,3.92,0,27.44,3.92,0,0,0,3.92,0,0,0,0,0,9.8,0
