stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,1,99,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,0,1.64,0,0,0,0,0,0,0,3.28,0,2.46,63.21,0.82,0,0.82,3.28,0.82,0,0,0.82,210.96,0,0,0,0
 36-46,0,2.42,0,0,6.45,0.81,0,0,6.45,0,0,0,0,0,0.81,0,4.03,0,0.81,99.1,1.61,0,0,0.81,0,0,0.81,0,371.41,0,0,0,0
 48-58,0,3.44,0,0,26.4,0,0,0,22.95,0,0.57,0,0,1.15,0,0,6.31,0,0.57,109.6,0,0,0,0,0,0,0,0,510.11,0,0.57,0,0.57
 60-70,0,0.98,0,0,114.84,0,0.98,0,17.67,0,0,0,0,0.98,0.98,0,6.87,0,0,163.91,0,0,0,0.98,0,0,0,0,463.28,0,0,0,0
 72-82,0.98,0.98,0,0.98,243.45,0,0,0,25.52,0,0,0,0,0,0,0,8.83,0,0,177.68,0,0,0,1.96,0,0,0,0,330.82,0,2.94,0.98,0
 84-94,0,6.37,2.12,0,189.04,0,3.19,1.06,23.36,0,1.06,0,2.12,0,0,0,6.37,3.19,3.19,111.51,0,2.12,0,0,0,0,0,0,201.79,1.06,1.06,2.12,0
 96-106,0,8.74,0,1.09,214.2,0,0,0,16.39,0,0,0,3.28,0,1.09,1.09,9.84,0,0,95.08,0,1.09,0,3.28,0,0,0,0,103.82,0,0,0,0
108-118,0,3.83,0,0,177.7,0,0,0.77,19.92,0.77,0,0.77,0,0,0,0,3.06,0,0,111.06,0,0.77,0,0.77,0,0.77,0,0,95.75,0,1.53,0,0
120,0,3.92,0,1.96,117.59,0,3.92,1.96,5.88,0,0,0,0,1.96,1.96,0,9.8,0,0,80.35,0,0,0,5.88,0,0,0,0,123.47,0,0,0,0
