stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,65.89,500.76,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,30.65,392.3,0,0,0,0,0,0,0,6.13,0,0,12.26,0,0
  7-9,7.89,2.63,0,0,0,0,2.63,0,0,44.69,0,15.77,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,2,0,0,0,1,4
 24-34,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,1.06,0,1.06,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,1.96,0,1.96,0,0,0,0,1.96
