stage,axial,blastomeres,eye,fin.epithelia,gut,mesenchyme,mural.cell,neural,periderm,presomitic.mesoderm,spinal.cord,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,0,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,1.96,0,0,0.98,0,3.93,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0,0,1.53,0.77,0,0,0
