stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,7,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,1,0,0,2,0,0,1,0,1,4,0,0,0,0,0
 24-34,0,0,1.64,7.39,0,2.46,0,0,0,0,0,0,0,28.73,0,0,0,0.82,1.64,0,0.82,20.52,0,0.82,10.67,0,0,2.46,0,0,15.6,0,0,0,0,0
 36-46,0,0,0.81,8.06,0,2.42,0,0.81,0,0,0,0,0,16.92,0,0.81,0,1.61,2.42,0,0.81,43.51,0,0.81,2.42,0,0,0.81,0,0,18.53,0,0,0,0,0
 48-58,0,0,1.15,41.89,0,6.31,0,0,0,1.72,0,0,0,11.48,0,1.72,0,5.16,1.72,0,0,66.56,1.15,1.15,1.72,0,0,3.44,0,0,18.94,0,0,0.57,0,0
 60-70,0,0,5.89,34.35,0,20.61,0,0,0,4.91,0,0,0,9.82,0,3.93,0,8.83,0,0,0,197.29,0,0,2.94,0,0,3.93,0,0,19.63,4.91,0,0.98,0.98,0
 72-82,0,0,3.93,91.29,0,44.17,0,0,0,7.85,0.98,0,0,21.6,0,6.87,0,33.38,0.98,0.98,0.98,198.3,0,0,9.82,0,0,3.93,0,0,10.8,28.47,0.98,2.94,0,0.98
 84-94,0,0,13.81,61.6,0,27.61,0,0,1.06,8.5,1.06,1.06,0,41.42,0,21.24,1.06,15.93,1.06,0,1.06,105.14,0,0,7.43,0,0,9.56,1.06,0,7.43,98.77,1.06,2.12,2.12,0
 96-106,0,0,27.32,86.33,1.09,33.88,1.09,1.09,0,13.11,0,0,1.09,53.55,0,38.25,3.28,13.11,2.19,1.09,4.37,106.01,0,1.09,5.46,0,1.09,8.74,0,0,5.46,157.37,1.09,3.28,0,0
108-118,0,0,13.79,52.85,0,22.21,0,1.53,0.77,6.13,1.53,0,3.83,71.23,1.53,18.38,1.53,26.04,6.89,0.77,0.77,108,0,1.53,3.06,0,0,3.83,0,0,1.53,160.09,0,1.53,0,0
120,0,0,15.68,76.43,0,15.68,0,3.92,1.96,1.96,0,0,5.88,33.32,0,19.6,0,15.68,0,1.96,3.92,97.99,0,1.96,1.96,0,0,3.92,0,0,0,54.87,0,0,0,0
