stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,38,180,93,0,106,0,0,0,26,23,0,4,0,0,0,0,14,9,143,0,0,60,1091,14,1,13,34,0,2,1,136,5,2,120,294,0,0,12,0,0
 24-34,0.82,15.6,77.16,9.03,0,88.65,0,1.64,0,13.13,4.93,1.64,9.03,0,5.75,0.82,0.82,12.31,18.88,175.66,0,0.82,56.64,777.35,1.64,2.46,9.85,0,0,15.6,0,1.64,3.28,0,9.03,160.07,0,0,38.58,0,0.82
 36-46,0,0.81,27.39,2.42,0,65.26,0,6.45,2.42,23.36,4.03,0,12.89,0,0,1.61,1.61,8.06,6.45,155.49,0.81,3.22,41.09,506.77,0,1.61,1.61,0,0,12.89,0,0,0,0,0,119.24,0,0,21.75,0,0
 48-58,0,0,14.92,0,0,37.87,0,5.74,4.02,20.08,0,0.57,12.62,0.57,0,0.57,0.57,0,3.44,116.48,0.57,4.02,22.38,123.37,0,0,1.15,0,0,50.49,0,0,0,0,0,32.71,0,1.15,8.61,0.57,0
 60-70,0.98,0,18.65,0.98,0,31.41,0,9.82,6.87,20.61,0.98,0,14.72,0.98,2.94,0.98,0,3.93,1.96,141.34,0.98,8.83,23.56,73.61,0,1.96,1.96,0,3.93,153.12,0,0,0,0,0,18.65,0,7.85,9.82,0.98,0
 72-82,0,0,34.36,2.94,0,22.58,0,8.83,15.71,24.54,0.98,0.98,17.67,0.98,0.98,2.94,0,3.93,3.93,153.14,3.93,7.85,8.83,53.01,0,0,3.93,0,8.83,276.83,0,0,0,0,0,6.87,0,8.83,22.58,9.82,0
 84-94,0,0,88.15,3.19,0,26.55,0,32.92,11.68,26.55,3.19,0,15.93,3.19,9.56,3.19,0,3.19,9.56,118.95,5.31,9.56,11.68,53.1,0,1.06,2.12,0,11.68,972.83,0,0,1.06,0,0,8.5,0,5.31,22.3,4.25,0
 96-106,1.09,0,97.26,2.19,0,19.67,1.09,26.23,13.11,13.11,5.46,0,18.58,6.56,12.02,3.28,2.19,9.84,6.56,110.38,12.02,12.02,14.21,51.36,2.19,4.37,7.65,0,13.11,771.55,0,0,0,0,0,4.37,0,8.74,31.69,14.21,0
108-118,0,0,91.92,0.77,0.77,20.68,0,36.77,9.19,16.85,3.06,0,8.43,2.3,27.57,0.77,0.77,3.83,9.19,114.13,14.55,5.36,12.26,63.57,0,1.53,7.66,0,12.26,978.9,0,0,0,0,0,2.3,0,3.06,29.87,8.43,0
120,0,0,64.67,7.84,0,11.76,0,27.44,3.92,9.8,1.96,0,13.72,3.92,11.76,1.96,0,3.92,7.84,78.39,1.96,7.84,3.92,31.36,0,1.96,5.88,1.96,11.76,721.2,0,0,0,0,0,0,1.96,7.84,19.6,1.96,0
