stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,1
 24-34,0,1.64,0,0,0,0,0,0,0,0,0.82,4.1,0,0.82,0,0,0.82,0.82
 36-46,0,0.81,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0.81,0,0,0
 48-58,0,0.57,0,0.57,1.15,0,0,0,0.57,0.57,0.57,0,0,0,0.57,0,0.57,0
 60-70,0,1.96,0,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0.98,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,1.06,2.12,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0
108-118,0.77,0.77,0.77,0,0,0.77,0,0,0,0.77,0,0,0,0,0.77,0.77,0,0
120,1.96,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
