stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,15.73,0,15.73,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,16,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,9,1,0,0,1,0,702,2,0,1,4,0,0,0,0
 24-34,0,0,0,15.6,0,4.1,0,3.28,0,0,0,0,0,0,13.13,0,0,0,0,2.46,22.98,0,2.46,55,0,1.64,3.28,0,0,1383.96,0,0.82,0,3.28,0,0.82,0,0
 36-46,0,0,0,8.86,0,6.45,0.81,8.86,0,0.81,0,0,0,0,12.89,0,2.42,0,0,3.22,16.92,0,1.61,47.53,0.81,3.22,1.61,0,0,1494.52,0,0,0.81,8.86,0,2.42,0,0.81
 48-58,0,0,0,17.21,0,17.79,0,14.92,0,4.59,1.15,2.3,0.57,0.57,5.74,0,1.15,0,0,11.48,16.07,0,0,46.48,0,1.72,0,0,0,1258.35,0,0.57,0,5.16,0,0,0,0.57
 60-70,0,0,0,42.21,0.98,16.69,0,10.8,0,2.94,0.98,0.98,0,0,11.78,0,0,0,0,6.87,13.74,0,2.94,20.61,0,1.96,0.98,0,0.98,969.74,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,85.4,0,12.76,0,12.76,0.98,2.94,9.82,0,0,0,18.65,0,2.94,0,0,4.91,16.69,0,2.94,29.45,0,3.93,2.94,0,0,882.51,0,0,0,0,6.87,0.98,0,0
 84-94,0,0,0,177.36,0,20.18,0,41.42,0,7.43,36.11,1.06,1.06,0,42.48,0,5.31,0,0,3.19,16.99,0,1.06,9.56,0,2.12,2.12,0,0,2013.62,0,0,0,0,37.17,1.06,0,1.06
 96-106,0,0,0,288.51,0,37.16,0,62.29,0,7.65,78.68,0,0,3.28,84.15,0,5.46,0,0,8.74,26.23,1.09,3.28,27.32,1.09,3.28,2.19,0,0,2323.39,0,0,0,1.09,53.55,0,2.19,1.09
108-118,0,0.77,0.77,254.3,0.77,19.92,0.77,75.83,0,3.83,85.79,0,0.77,1.53,67.4,0.77,3.83,0.77,0.77,6.89,42.13,0,1.53,28.34,0,4.6,0.77,0,0.77,1742.57,0,0,0,0,65.87,0,0,0
120,0,0,0,127.39,0,7.84,0,39.2,0,0,37.24,0,0,0,23.52,0,0,0,0,1.96,19.6,0,1.96,9.8,0,5.88,1.96,0,0,972.05,0,0,0,0,17.64,0,0,0
