stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,6.29,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,36,3,1,0,0,0,1,1,3,0,1,3,13,0,0,0,0,0
 24-34,0,0,0,4.1,0,6.57,0,0,0.82,0.82,0,0,0.82,0,0,0,0.82,0.82,1.64,0,0,3.28,76.34,0,0.82,0,0,0,1.64,0,0,0,0,0,13.95,0,0,3.28,0,0.82
 36-46,0,0,0,0.81,0,19.34,0.81,0,0,0,0,0,0,0.81,0,10.47,0,0,8.86,0,0.81,2.42,80.57,0.81,0,0.81,0,0,2.42,0,0,0,0,0,23.36,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,17.79,0.57,0,0,2.87,0,0.57,0,0,0,20.66,0,0,5.16,0,0.57,0.57,55.66,1.15,0.57,0.57,0,0,0.57,0,0,0,0,0,13.77,0,0,2.3,0,1.15
 60-70,0,0,0,0,0,27.48,0.98,0,0,6.87,0,0,0,0,0,67.73,0,0,5.89,0,0.98,0.98,85.39,0,0,0.98,0,0,0.98,0,0,0,0,0,10.8,0,0,0.98,0,0.98
 72-82,0,0.98,0,1.96,3.93,28.47,0,0,0,6.87,0,0.98,0,0,0,38.28,0,0,9.82,0,0.98,0.98,69.7,0,0.98,0.98,0,0,1.96,0,0,0,0,0,4.91,0,0,5.89,0,0
 84-94,0,0,0,2.12,0,18.05,1.06,0,0,4.25,0,0,0,0,0,77.53,0,1.06,8.5,0,1.06,1.06,42.48,0,0,0,0,0,5.31,0,0,0,0,0,3.19,0,2.12,1.06,1.06,2.12
 96-106,0,1.09,0,0,2.19,15.3,0,2.19,0,9.84,2.19,0,1.09,1.09,0,55.74,0,0,12.02,1.09,0,0,20.76,0,1.09,0,0,0,4.37,0,0,0,0,0,1.09,1.09,0,1.09,0,1.09
108-118,0,0,0,3.06,2.3,14.55,0,0,0,2.3,0,0,0,2.3,0.77,55.15,0.77,0,3.06,0,0,0,50.55,0,0.77,0.77,0,0.77,2.3,0,0,0,0.77,0,1.53,0.77,0,0,0,1.53
120,0,0,0,0,1.96,21.56,0,1.96,0,0,1.96,0,0,3.92,0,19.6,0,0,5.88,0,0,3.92,54.87,1.96,0,0,0,0,3.92,0,0,0,0,0,1.96,0,0,3.92,0,1.96
