stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,spinal.cord,vasculature
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0.82,0,0,7.39,0,0,1.64,0
 36-46,0,0,0,4.03,0,0,0,0,0,0,0,0.81,12.89,0,0,1.61,0
 48-58,0,0,0,14.35,1.72,0,0,0,0,0,0,0,16.07,0.57,0.57,2.87,0.57
 60-70,0,0,0,43.19,0.98,0,0,0,0,0.98,0,0,18.65,0,0,0.98,0
 72-82,0,1.96,0,74.61,2.94,0.98,0,0,0,0,0.98,0.98,29.45,0,0,3.93,0
 84-94,0,2.12,0,47.79,1.06,0,1.06,0,0,3.19,0,0,16.99,0,0,2.12,0
 96-106,0,1.09,0,41.53,3.28,0,0,1.09,0,2.19,0,1.09,9.84,0,0,0,0
108-118,0.77,0,0,39.83,4.6,0,0,0,0.77,0,0,0,23.74,0,0,0,0
120,0,1.96,1.96,39.2,1.96,0,1.96,0,0,5.88,0,0,37.24,0,0,5.88,0
