stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,3,8,16,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,2,56,0,0,1,0,0,0,0,3,1,2,3,28,0,0,0,0,0
 24-34,0,4.93,1.64,3.28,4.1,0,12.31,0,0.82,0,2.46,0.82,0,9.03,0.82,0.82,0,0,0,0,14.78,0,0,5.75,288.12,0,3.28,1.64,0,1.64,1.64,0,0,8.21,0.82,1.64,109.99,0,0,4.93,0,0
 36-46,0,0.81,0,0,0,0,18.53,1.61,0.81,0.81,7.25,0,0,5.64,0,0,0,0,0,1.61,10.47,0,0,6.45,636.48,0.81,5.64,0,0,0,0,0,0,0,0,0,140.19,0,0,1.61,0,0.81
 48-58,0,5.16,0,3.44,0.57,0,61.4,1.72,0.57,0,9.75,0.57,0.57,1.15,0,0,0,0,0,0,17.21,0.57,1.15,4.59,862.43,1.72,3.44,2.3,0,0.57,1.15,0,0,0,0.57,0,106.15,0,0.57,2.3,0,0
 60-70,0,1.96,0,8.83,0.98,0,184.53,0,3.93,0,13.74,0.98,0,0.98,1.96,0.98,0,0,0,0,21.59,0,0,0.98,1631.29,0,2.94,1.96,0,0,0.98,0,0,0,0,0,116.8,0,1.96,5.89,0.98,0
 72-82,0,7.85,0,9.82,5.89,0,325.91,0,1.96,0.98,27.49,2.94,0,0,0,0,0,0,1.96,0.98,43.19,0,0.98,0.98,1876.94,0,7.85,7.85,0,0.98,0.98,0.98,0,0.98,0,0,103.07,0.98,0,7.85,0.98,0.98
 84-94,0,9.56,0,16.99,4.25,0,244.27,0,1.06,0,35.05,0,0,2.12,2.12,0,5.31,1.06,0,1.06,31.86,1.06,1.06,0,995.13,2.12,3.19,9.56,0,0,2.12,1.06,0,2.12,0,0,65.85,1.06,1.06,3.19,3.19,1.06
 96-106,0,9.84,0,10.93,9.84,1.09,222.94,1.09,3.28,4.37,41.53,5.46,0,1.09,0,0,0,3.28,3.28,0,31.69,1.09,0,4.37,934.38,1.09,2.19,24.04,0,0,3.28,1.09,0,1.09,0,0,38.25,3.28,1.09,0,3.28,2.19
108-118,0,8.43,0,15.32,3.83,0,167.75,0.77,4.6,0.77,18.38,2.3,0,1.53,4.6,0,0.77,2.3,0.77,0,21.45,0.77,0,3.83,976.6,1.53,3.06,12.26,0,0,3.83,0,0,2.3,0,0,22.98,3.83,0,5.36,0.77,0.77
120,0,7.84,1.96,23.52,0,0,162.66,0,5.88,1.96,23.52,3.92,0,0,3.92,0,0,5.88,0,0,33.32,0,0,9.8,1164.11,0,5.88,15.68,0,0,1.96,0,0,1.96,0,0,52.91,1.96,0,9.8,0,0
