stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,34.48,0,0,0.82,0,0,0,0,0,6.57,0,0,0
 36-46,0,0,0,0,2.42,0,0.81,1.61,0,0,0,0,2.42,0,0.81,96.68,0,0,0.81,0,0,0,0,0,18.53,0,0,0
 48-58,0,0,1.15,0,9.75,0.57,0,2.3,0,0,0,0,9.18,0,2.87,109.02,0,0,0,0,0,0.57,0,0,10.9,0,0,0
 60-70,0,0,0.98,0,20.61,0,0,3.93,0,0,0,0.98,26.5,0,2.94,284.64,0,0.98,0,0,0.98,0,0,0,19.63,0,0,0.98
 72-82,0,0.98,1.96,0,28.47,0,0,4.91,5.89,0,0,0,34.36,0,0,256.21,0,0,1.96,0,3.93,0,0,0,25.52,0,0,0.98
 84-94,0,0,2.12,0,26.55,0,1.06,5.31,3.19,0,1.06,0,21.24,1.06,1.06,121.07,0,0,2.12,0,0,0,0,0,13.81,0,0,0
 96-106,0,0,0,1.09,19.67,1.09,0,3.28,5.46,0,0,0,28.41,0,1.09,87.43,0,0,3.28,0,3.28,0,0,0,8.74,2.19,1.09,0
108-118,0,0,0.77,0,19.15,0,0,5.36,4.6,0.77,0.77,0.77,19.92,0,0,115.66,0,0,3.06,0,2.3,0,0.77,0,5.36,0.77,0,0
120,0,0,1.96,0,33.32,0,0,7.84,1.96,0,0,3.92,23.52,0,0,119.55,0,0,0,0,1.96,0,0,0,0,0,0,0
