stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,42.06,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,7,0,2,10,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,6.57,0.82,11.49,0,21.34,0,0,0.82,0,0,0,0,0,14.78,0,15.6,44.33,5.75,0.82,0,0,0.82,0.82,0,6.57,15.6,0.82,0,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,12.89,12.09,3.22,0.81,13.7,0,0,0,0,0,0,0.81,0,51.56,0,15.31,42.7,16.11,0,0,0,1.61,0,0,4.83,0,3.22,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,20.08,4.02,5.16,5.74,16.64,0,0,0,0.57,0,0,1.15,0.57,92.38,0,10.33,34.43,12.62,0,0,0,0,0,0,5.16,0,4.59,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0.98,44.17,7.85,1.96,9.82,4.91,0,0,0,0,0,0.98,0,0.98,165.88,0,9.82,18.65,17.67,0,0,0.98,0,0,0,3.93,0,1.96,0,0,0,0,1.96
 72-82,0,0,0,0,2.94,0,69.7,4.91,0,17.67,10.8,1.96,0,0,0,1.96,0,1.96,0.98,308.24,0,17.67,27.49,7.85,0.98,0,0,0,0,0,3.93,0,4.91,0,0,0.98,0.98,0.98
 84-94,0,0,0,0,7.43,0,90.27,9.56,0,13.81,3.19,2.12,0,1.06,0,4.25,0,0,1.06,221.97,0,11.68,25.49,20.18,0,0,0,0,0,0,8.5,0,6.37,0,1.06,0,0,3.19
 96-106,0,0,1.09,0,6.56,0,76.5,8.74,2.19,19.67,13.11,3.28,0,0,2.19,2.19,1.09,0,2.19,203.27,1.09,12.02,36.06,12.02,4.37,1.09,0,5.46,0,0,9.84,0,2.19,0,1.09,1.09,5.46,4.37
108-118,0,0,0,0,5.36,0,62.04,12.26,6.13,23.74,12.26,6.13,0,0,0.77,2.3,1.53,0.77,1.53,175.41,0.77,13.02,32.17,13.02,1.53,0,0,0.77,0,0,9.96,0,4.6,4.6,0,0,1.53,1.53
120,0,0,0,0,3.92,0,19.6,19.6,3.92,13.72,1.96,9.8,0,0,1.96,0,0,0,0,148.94,0,13.72,23.52,21.56,1.96,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0
