stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,20,11,0,0,0,0,0,0,9,0,13,0,0,0,0,97,0,0,27,84,12,0,0,1,0,1,4,0,3,45,0,0,1,0,0
 24-34,0,0,2.46,0,8.21,2.46,3.28,0,0,0,0,0,7.39,0.82,6.57,1.64,0,0,0,33.66,0.82,0,9.85,357.07,1.64,0.82,0,0,0.82,0.82,0,0,1.64,53.36,0,0,4.1,0,0
 36-46,0,0,0.81,0,4.03,0.81,4.83,0,0,4.83,0.81,0,8.86,0,0.81,0,0,1.61,0,29,0,0.81,4.03,685.62,1.61,1.61,0,0,0.81,0,0,0,0,58.01,0,0,8.06,0,2.42
 48-58,0.57,0,1.15,0,4.59,0,43.04,0,1.15,5.74,10.33,0.57,7.46,1.15,0,0.57,0,1.15,0,51.07,0.57,1.72,10.9,879.07,0,1.72,0.57,0,0.57,1.15,0,0,0,57.38,0,0.57,6.89,0,0.57
 60-70,0,0,0,0,4.91,1.96,94.23,0.98,0,8.83,18.65,0.98,3.93,0.98,1.96,0,0.98,2.94,0,57.91,0,4.91,5.89,1814.83,0,1.96,0,0,1.96,2.94,0,0.98,0,120.73,0,0,4.91,0.98,0.98
 72-82,0,0,2.94,0,18.65,3.93,312.17,0,1.96,8.83,76.57,0.98,1.96,0,2.94,0,0,0.98,2.94,120.74,0.98,4.91,9.82,2079.16,0.98,0.98,1.96,0,0.98,3.93,0,0,0,141.36,0,2.94,10.8,2.94,1.96
 84-94,0,0,3.19,0,22.3,2.12,242.14,1.06,1.06,6.37,56.29,0,3.19,1.06,4.25,2.12,0,3.19,2.12,66.91,0,5.31,5.31,1102.39,0,0,0,0,0,3.19,0,3.19,0,76.47,1.06,1.06,11.68,6.37,2.12
 96-106,0,0,1.09,0,18.58,2.19,215.29,1.09,1.09,5.46,60.11,0,3.28,3.28,4.37,0,0,0,1.09,100.54,0,2.19,9.84,962.8,1.09,2.19,0,0,3.28,4.37,0,2.19,0,41.53,0,1.09,9.84,5.46,1.09
108-118,0,0,3.06,0.77,16.85,2.3,168.51,0,0.77,8.43,38.3,2.3,0.77,0,3.06,3.06,0,1.53,0.77,72.77,0.77,1.53,6.13,1346.56,0,0.77,0,0,0.77,3.83,0,0.77,0,28.34,1.53,1.53,7.66,0,0
120,0,0,0,0,11.76,7.84,97.99,0,0,3.92,37.24,1.96,3.92,1.96,3.92,0,0,0,1.96,66.63,0,1.96,3.92,1305.22,1.96,0,0,0,1.96,7.84,0,0,0,29.4,0,1.96,9.8,3.92,0
