stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,12,0,0,0,0,0,0,1,0,1,27,0,0,0,0
 24-34,0,0,1.64,0,0,0,0.82,0,0,0,0.82,2.46,0,2.46,0.82,0,1.64,0,1.64,0,0,2.46,105.07,12.31,0,1.64,0,0,0,0,9.03,0.82,0,104.25,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,12.09,0,0.81,0,1.61,0.81,1.61,2.42,7.25,0,0.81,4.03,0.81,0,0,0.81,108.77,11.28,2.42,1.61,0,0,0.81,0,1.61,0,0,157.11,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,26.97,0.57,0,0,3.44,0,0.57,1.72,4.59,0,0,5.16,7.46,0,0.57,0.57,84.92,1.15,0.57,0.57,0,0,0,0,0.57,0,0,113.04,0,0,0,0
 60-70,0,0,0,0.98,0,0,29.45,0,0.98,0,1.96,0.98,0,9.82,10.8,0,0,2.94,11.78,0,0,0,94.23,2.94,0.98,0.98,0,0,0.98,0,2.94,0,0,67.73,0,0,0,0.98
 72-82,0,0,0,0,0,0,27.49,0,0,0,3.93,0,0.98,5.89,5.89,1.96,1.96,0,21.6,0,0,1.96,70.68,0,0,1.96,0,0,0.98,0,3.93,0,0,38.28,0.98,1.96,2.94,0
 84-94,0,0,1.06,3.19,0,1.06,20.18,0,0,1.06,4.25,0,0,13.81,14.87,0,5.31,6.37,22.3,0,0,3.19,49.92,2.12,2.12,8.5,0,0,0,0,2.12,0,0,22.3,0,1.06,1.06,0
 96-106,0,0,0,4.37,0,1.09,12.02,2.19,0,2.19,2.19,1.09,3.28,20.76,14.21,0,6.56,1.09,24.04,2.19,1.09,0,48.09,5.46,0,7.65,0,2.19,0,0,5.46,0,0,15.3,0,2.19,0,2.19
108-118,0,0,0,5.36,0.77,1.53,13.79,0.77,1.53,2.3,3.83,0.77,0.77,25.28,29.11,0,8.43,3.83,16.09,0,0,0.77,51.32,3.06,1.53,10.72,0,0.77,0.77,0,2.3,0,0,7.66,0,0,3.06,0.77
120,0,0,0,5.88,0,0,11.76,1.96,0,0,9.8,0,0,13.72,13.72,0,5.88,3.92,13.72,0,0,7.84,41.16,7.84,0,3.92,0,0,1.96,0,3.92,0,0,9.8,0,1.96,0,1.96
