stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,2.42,0,0,0.81,4.03,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0.57,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,3.93,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0.98,0,1.96,0.98,68.72,5.89,0,0,0,0.98,0,0,0.98,0,0,0.98,0,5.89,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,1.06,2.12,138.06,7.43,0,0,0,1.06,0,0,0,0,0,1.06,0,2.12,0,1.06,0,27.61,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,7.65,5.46,304.9,27.32,1.09,1.09,7.65,4.37,1.09,3.28,1.09,1.09,2.19,3.28,0,14.21,0,3.28,2.19,86.33,0,2.19,2.19,0,2.19,8.74,0,0,0,1.09,0,2.19,3.28,3.28,0
108-118,1.53,0,7.66,2.3,633.45,47.49,3.06,0.77,13.79,4.6,0,3.06,2.3,3.83,0.77,5.36,0,29.11,0,0,3.83,102.64,1.53,2.3,3.06,0,0,21.45,0,0,0,3.06,0.77,0,4.6,0,2.3
120,0,0,13.72,5.88,278.29,39.2,1.96,1.96,5.88,3.92,0,9.8,0,1.96,1.96,1.96,0,7.84,1.96,1.96,5.88,109.75,0,0,1.96,0,0,9.8,1.96,0,0,0,0,0,0,0,0
