stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,42.06,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,4,7,0,19,1,0,0,0,0,0,0,4,0,2,50,0,1,1,1,0,0,11,15,1,6,59,0,0,1,0
 24-34,0,0,0,0,0,0,5.75,0,22.16,0,0,0,0,0,0,0,3.28,0,0.82,55,1.64,4.1,0.82,0,0,0,0,9.03,0,0.82,35.3,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,8.06,0,7.25,0,0,0,0,0,0,0,7.25,0.81,2.42,37.87,0.81,8.06,0,0,0,0,0,4.03,0,0,25.78,0,0,1.61,0
 48-58,0,0,0,0,1.72,0,20.66,0,9.18,0,0,0,0,0,0,0,10.33,0,0,27.54,0,5.16,1.15,0,0,0.57,0,2.3,0,0,21.23,0,0,0.57,0
 60-70,0,0,0,0,0,0,30.43,0.98,12.76,0,0,0,0,0,0,0.98,5.89,0,0.98,24.54,0,13.74,1.96,0,0.98,0,0,1.96,0,0,6.87,0,0,0.98,0
 72-82,0,0,1.96,0,0,0,16.69,0.98,15.71,0,0,0,0,0,0,0.98,20.61,0,2.94,18.65,0,11.78,2.94,0,0,0,0,0.98,0,0,2.94,0,0.98,0.98,0
 84-94,0,0,0,1.06,0,0,10.62,1.06,5.31,0,0,0,0,0,1.06,1.06,10.62,0,1.06,9.56,0,10.62,3.19,0,0,1.06,0,1.06,0,0,5.31,0,1.06,0,0
 96-106,0,0,0,0,2.19,0,9.84,1.09,10.93,1.09,0,1.09,0,0,0,5.46,15.3,0,0,13.11,0,17.49,6.56,0,0,0,0,2.19,0,0,4.37,0,0,1.09,1.09
108-118,0,0,0,0,0,0,3.06,0,6.13,0,0,0,0,0.77,1.53,1.53,8.43,0,3.06,11.49,0,6.13,5.36,0,0.77,3.06,0,0,0,0,0,0.77,0.77,0,0.77
120,0,0,0,0,1.96,0,1.96,1.96,1.96,0,0,0,1.96,0,0,1.96,9.8,0,1.96,9.8,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0
