stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,37.76,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0,0,4,7,0,0,0,0,0,7,0,1,7,8,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,1.64,0,0,0,3.28,0,2.46,18.88,0,2.46,0.82,0,0,0,0,0,4.93,13.95,0,4.93,0
 36-46,0,0,0,0,5.64,0,1.61,3.22,0.81,0,0,12.89,0.81,5.64,70.9,0,0.81,0,0,0.81,0,0,0,0,26.59,0,2.42,0
 48-58,0,0,0,0.57,22.38,0,0,7.46,0,0,0,11.48,0.57,1.72,63.12,0,1.15,0,0,0,0,0,0,0,25.25,0,1.72,0
 60-70,0,0,0,0,36.32,0,1.96,6.87,0,0,0,18.65,0.98,1.96,93.24,0,0.98,0,0,0,0,0,0.98,0,16.69,0,3.93,0
 72-82,0,0,0.98,0.98,41.23,0,0.98,23.56,2.94,0,0,25.52,0.98,2.94,97.18,0,2.94,0,0,0,0,0,0,0,9.82,0,8.83,0
 84-94,0,0,0,1.06,30.8,1.06,1.06,13.81,0,0,0,19.12,3.19,3.19,49.92,0,1.06,0,0,1.06,0,0,0,0,4.25,0,5.31,2.12
 96-106,0,0,0,0,26.23,0,1.09,13.11,1.09,1.09,1.09,19.67,0,3.28,42.62,0,3.28,0,0,0,0,0,0,0,3.28,1.09,3.28,2.19
108-118,0,0,0,0,15.32,0,0.77,4.6,0.77,0,1.53,19.92,1.53,3.83,45.96,0,1.53,0.77,0,0.77,0,0.77,0,0,2.3,0.77,3.83,0.77
120,0,0,1.96,1.96,19.6,0,0,9.8,0,0,0,19.6,3.92,0,78.39,0,3.92,0,0,1.96,0,0,0,0,3.92,1.96,7.84,0
