stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,4,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,37,0,0,1,0,1,3,0,1,5,13,0,0,0,0,0
 24-34,0.82,0,4.1,0.82,9.85,0,0,0,3.28,0,0,1.64,0,0.82,0.82,0,0,0.82,9.85,0,0,3.28,142.83,0.82,1.64,1.64,0,4.93,0,0,0,1.64,24.63,0,0,3.28,0,0.82
 36-46,0,0,0.81,0,18.53,0,0,1.61,2.42,0,0,0.81,0,0,0,0.81,0,0,11.28,0.81,0,1.61,165.97,0,2.42,0,0,1.61,0,0,0,0,39.48,0,0,2.42,0,0.81
 48-58,0,0,1.72,0,54.51,0,1.15,0,17.21,0,0.57,0,0,0,0,0,0,0.57,22.95,0,0,4.02,209.44,0,1.72,1.15,0,2.87,0,0.57,0.57,0,32.13,0,0.57,2.3,0,0.57
 60-70,0,0,1.96,0,56.93,0,0,0.98,10.8,0.98,0,0,0,0.98,0,0.98,0,0,27.48,0,0.98,3.93,169.8,1.96,0.98,0,0,2.94,0,0,0,0,20.61,0,0.98,1.96,0,0.98
 72-82,0,0.98,3.93,0.98,155.1,0,0,0.98,21.6,0,0,0,1.96,0,0,1.96,0,0,40.25,0.98,1.96,3.93,227.75,0,1.96,3.93,0.98,3.93,0,0,0,0,31.41,1.96,0.98,4.91,3.93,0
 84-94,0,1.06,6.37,1.06,101.96,0,1.06,4.25,16.99,1.06,1.06,1.06,2.12,2.12,0,0,1.06,0,38.23,0,1.06,4.25,140.19,0,0,5.31,0,15.93,0,0,0,0,15.93,0,1.06,4.25,0,2.12
 96-106,0,0,6.56,0,50.27,0,1.09,0,15.3,5.46,0,3.28,1.09,3.28,0,2.19,2.19,0,32.79,1.09,1.09,3.28,84.15,3.28,2.19,3.28,2.19,10.93,0,0,0,0,2.19,0,1.09,8.74,0,1.09
108-118,0,0,13.02,0.77,52.85,1.53,2.3,3.06,17.62,11.49,0,0.77,0.77,1.53,0,0,0.77,0,32.17,0.77,0,3.83,144,1.53,3.83,5.36,0,10.72,0,0,0,0,6.89,0,0.77,4.6,1.53,0.77
120,0,0,5.88,1.96,52.91,0,0,1.96,13.72,3.92,0,0,3.92,0,1.96,1.96,0,0,15.68,0,1.96,5.88,76.43,0,0,1.96,0,11.76,0,0,0,0,1.96,0,0,3.92,0,0
