stage,axial,blastomeres,endoderm,eye,hatching.gland,liver,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites
  3-4,52.71,1041.06,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,73.56,1017.52,0,0,0,0,55.17,6.13,6.13,24.52,0,0,0
  7-9,47.32,28.92,36.8,52.57,57.83,0,436.37,28.92,194.52,5.26,0,0,0
 10-12,0,12.59,53.5,44.06,59.79,3.15,594.78,72.38,276.93,3.15,3.15,22.03,9.44
