stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0.82,0,0,0,0,0,0,1.64,0,1.64,0,0,0,1.64,0,1.64,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,5.64,0.81,0.81,0,0,0.81,2.42,0,0,0
 48-58,0,0.57,0,4.02,0.57,0,0,0,0,0,0,0,0,0.57,0,0,0,0,10.33,0,0.57,0,0,0,2.3,0,0.57,0
 60-70,0,0.98,0,21.59,0.98,0,2.94,0,0,0,0,0,0.98,0.98,0,4.91,0,0.98,11.78,0,0.98,0,0,0.98,0,0,0,0.98
 72-82,0.98,0.98,0,19.63,0,0,2.94,0,0.98,0,0.98,0,0,0,0,2.94,0.98,0,10.8,0,0,0.98,0,0,0.98,0,2.94,0
 84-94,0,2.12,0,23.36,0,1.06,1.06,0,0,0,0,0,1.06,0,0,0,0,0,11.68,0,0,0,0,3.19,1.06,0,1.06,0
 96-106,3.28,3.28,0,24.04,0,0,3.28,0,0,0,1.09,1.09,3.28,0,0,2.19,0,0,10.93,0,0,0,0,5.46,0,0,1.09,1.09
108-118,0.77,2.3,0.77,13.02,0,0,1.53,0.77,0,0,3.06,0.77,6.13,0,0,3.06,0,0.77,7.66,0,0,0.77,0,0.77,1.53,0,1.53,0.77
120,5.88,1.96,0,9.8,1.96,0,3.92,1.96,0,0,3.92,1.96,0,0,0,3.92,0,0,15.68,0,0,0,0,3.92,0,1.96,1.96,1.96
