stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1818.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,36.78,600.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,7.89,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,6.29,0,0,0,44.06,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,531.84,0,0,0,100.7,0,0,3.15,25.18,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,9,0,0,252,0,0,0,1,0,0,0,0,0,0,0,1,0,13,0,0,94,720,2,1,0,0,0,1,17,4,1,226,45,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,390.73,0,0,0,4.93,0,0,0,0,0,0,0,3.28,0,44.33,0,0,187.16,557.36,0.82,0,2.46,0.82,0,3.28,0,4.1,0,13.95,41.86,0,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,155.49,0.81,0,0.81,55.59,0.81,0,0,0,0,0,0,2.42,0.81,53.98,0,0,82.98,414.92,0,0.81,4.03,0,0,0.81,0,2.42,0,0,62.84,0,0.81,0,0.81
 48-58,0,0,0,0,1.15,0,0,154.93,0,0,0,74.02,0.57,0,0.57,0,0,0.57,0,4.02,0,40.17,0,0,25.25,256.49,0,4.02,0,0,0,1.15,0,1.15,0.57,0,53.36,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,138.39,0,0.98,0.98,85.39,10.8,0,0,0,0,0,0,3.93,0,27.48,0,0,5.89,203.18,2.94,0.98,0,0,0,1.96,0,8.83,0.98,0,24.54,0,0,0,0
 72-82,0,0,0.98,0,0.98,0.98,0,120.74,0,0,0,64.79,29.45,0,0.98,0,0,0,0,2.94,0,20.61,0,0,1.96,148.23,0,2.94,2.94,0,0,0.98,0,16.69,0,0,16.69,0.98,2.94,0,1.96
 84-94,0,0,1.06,0,4.25,2.12,0,210.28,0,0,1.06,36.11,63.72,1.06,0,2.12,1.06,0,0,0,0,16.99,0,0,1.06,100.89,0,2.12,2.12,0,0,9.56,0,47.79,1.06,0,9.56,0,1.06,0,0
 96-106,0,0,2.19,0,8.74,1.09,1.09,193.43,0,2.19,0,46.99,104.91,0,0,0,1.09,1.09,1.09,6.56,0,12.02,1.09,0,1.09,96.17,1.09,3.28,2.19,0,1.09,6.56,0,36.06,2.19,0,2.19,0,1.09,0,2.19
108-118,0,0,0,0,7.66,0,0,213.7,0.77,0.77,0,39.83,167.75,0,0,0,0,0.77,0.77,3.83,0,12.26,0,0.77,1.53,94.21,0.77,3.06,10.72,0,0,4.6,0,48.26,0,0,4.6,0,0.77,0.77,0.77
120,0,0,0,0,1.96,0,0,90.15,0,0,0,39.2,97.99,0,0,0,0,0,0,0,0,11.76,0,0,1.96,86.23,9.8,3.92,7.84,0,0,3.92,0,43.12,0,0,3.92,0,1.96,0,0
