stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,2
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,39.4,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0,0.81,1.61,0,0,40.28,0,0,0.81
 48-58,0,0.57,0,0,0,1.72,0,0,0,0,0,2.3,0.57,0.57,0.57,0.57,0,0.57,22.95,0,0.57,0
 60-70,0,1.96,0,1.96,0,2.94,0,0,0.98,0,0,1.96,0,0,0,0.98,0,0,41.22,0,1.96,0
 72-82,0,0.98,0,0.98,0.98,0.98,0.98,0,0,0,0,3.93,0.98,0,0,4.91,0,0,31.41,0,0,0
 84-94,0,1.06,0,2.12,1.06,5.31,0,0,0,0,0,4.25,0,0,1.06,3.19,0,0,77.53,0,0,0
 96-106,0,5.46,1.09,2.19,1.09,9.84,0,1.09,0,0,0,4.37,0,0,0,3.28,0,0,43.71,0,0,0
108-118,0,2.3,0,0,0,4.6,0,0,0,0,0,4.6,0,0,0,0,0.77,0,19.15,0,0,0
120,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0,17.64,0,0,0
