stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,12.59,3.15,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,1,0,0,0,0,0,0,5,0,6,21,0,0,1,0,0,2,1,2,7,0,1,0,0
 24-34,0,0,2.46,0,4.1,0.82,0,1.64,0,0.82,0,0,0,0,9.03,0,6.57,37.76,0,0,0,0,0,0,0,0.82,6.57,0,2.46,0,0
 36-46,0,0,0,0,4.83,0,1.61,1.61,0,0,0,0,0,0,12.09,0,4.83,22.56,0.81,0.81,0,0.81,0,0,0,0,11.28,0,0.81,0,0
 48-58,0,0,1.15,0,4.02,0,1.15,2.3,0,0.57,0,0,0,0,25.82,0,5.74,10.33,0,0,0,0,0,0,0,0,4.59,0,1.15,0.57,0.57
 60-70,0,0,1.96,0,2.94,0,0,10.8,0,0.98,0,0,0,0,30.43,0.98,1.96,7.85,0,0,0,0,0,0,0,0,0,1.96,2.94,0,0.98
 72-82,0,0,0.98,0,1.96,0,3.93,10.8,0,0,0.98,0,0,0,71.66,1.96,3.93,8.83,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,3.19,0,3.19,3.19,0,0,0,1.06,0,0,50.98,1.06,3.19,6.37,0,0,0,1.06,0,0,0,0,1.06,3.19,1.06,1.06,0
 96-106,0,0,1.09,0,5.46,0,0,10.93,0,0,0,0,0,0,37.16,0,4.37,5.46,0,0,0,0,1.09,0,0,0,1.09,0,3.28,0,0
108-118,0,0,2.3,0,2.3,0,0.77,2.3,0,0,0,0.77,0.77,0.77,35.23,0.77,2.3,3.83,0,0,0,0,0,0,0,0,0,3.06,0.77,1.53,0.77
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,41.16,0,3.92,3.92,1.96,0,0,3.92,1.96,0,0,0,5.88,1.96,0,1.96,0
