stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,52,1,1,0,0,2,1,28,0,0,0,0,0
 24-34,0,0,1.64,0,0,2.46,0,0,0,1.64,0,0.82,0,0,0,0.82,0,0,2.46,166.63,2.46,0.82,0,0.82,0,0,79.62,0,0,0.82,0,0
 36-46,0,0,0,0,0,20.95,0,0,0,4.03,0,2.42,0,0,2.42,3.22,0.81,0,0.81,423.78,4.83,0,0,0.81,0,0,101.51,0,0,0,0,0
 48-58,0,0.57,0.57,2.3,0,61.97,0,0,0,17.21,0,0.57,0,0.57,2.87,4.02,0,0.57,1.15,491.18,1.72,0,0,0,0,0,105.01,0,0.57,0.57,0,0
 60-70,0,0,0,0,0,137.41,0,0,0,18.65,0,3.93,0,0,0,1.96,0,0,1.96,720.44,0.98,0,0,0,0,0,89.32,0,0,0,0,0.98
 72-82,0,0,1.96,4.91,1.96,223.82,0,0,1.96,20.61,1.96,3.93,0,0,0,10.8,0,0.98,0.98,646.92,6.87,0.98,0,0,0,0,44.17,0.98,1.96,0.98,0,0.98
 84-94,0,0,1.06,7.43,0,121.07,0,1.06,0,22.3,0,6.37,0,0,0,9.56,0,1.06,1.06,337.73,1.06,3.19,0,2.12,0,0,22.3,1.06,1.06,1.06,3.19,0
 96-106,0,0,1.09,2.19,0,151.91,0,0,0,24.04,1.09,2.19,0,3.28,1.09,3.28,0,0,0,268.84,7.65,7.65,1.09,4.37,0,0,12.02,2.19,0,1.09,1.09,1.09
108-118,0,0,0.77,1.53,1.53,140.17,0.77,1.53,0.77,16.85,0,5.36,0.77,0,5.36,6.13,0,0.77,0.77,330.9,1.53,1.53,0.77,0.77,0,0,10.72,2.3,0,0.77,0.77,0
120,0,0,0,11.76,1.96,111.71,0,0,0,23.52,0,0,0,0,3.92,7.84,0,1.96,0,374.32,3.92,1.96,0,1.96,0,0,13.72,0,0,0,0,0
