stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1
 24-34,0,0.82,0.82,0,0,1.64,0,0,0,1.64,0,0,7.39,0,18.06,0,0,3.28,0,0,0,0.82,0,13.13,0.82,0,0,0,18.06
 36-46,0,0.81,0,0,0,1.61,0,0,0,0,0,0,24.17,0.81,27.39,0.81,0,4.03,0,0,0,0.81,0,9.67,4.83,0,0,0,33.84
 48-58,0,0.57,0,0,0,13.77,0,0.57,1.15,1.15,0,0,53.36,0,25.82,1.15,0.57,12.05,0,0,0,0.57,0,4.59,2.87,0.57,0,0,45.33
 60-70,0,0,0,0,0,55.95,0,0,2.94,3.93,0.98,0,87.36,0,15.7,0.98,0,15.7,0,0,0,0.98,0,9.82,0.98,0,0,0,34.35
 72-82,0,0,0,0.98,0,63.81,0,0.98,1.96,5.89,0,0,110.93,0,12.76,3.93,0,9.82,0,0.98,0,0,0,2.94,0.98,0,0,0,19.63
 84-94,0,0,0,0,0,147.62,1.06,0,3.19,7.43,0,2.12,143.38,1.06,25.49,5.31,0,7.43,0,0,0,3.19,1.06,18.05,1.06,0,0,1.06,39.3
 96-106,0,1.09,0,1.09,1.09,133.33,0,0,1.09,10.93,0,0,140.98,1.09,20.76,2.19,1.09,10.93,0,0,0,1.09,0,19.67,0,0,0,0,32.79
108-118,0,0,1.53,0.77,0,141.7,0,0.77,0,14.55,0.77,0,184.6,1.53,29.11,2.3,1.53,9.96,0,0,0,1.53,0,9.96,0.77,0,0,0,26.81
120,0,0,0,0,0,60.75,0,0,0,19.6,0,0,109.75,0,15.68,0,0,1.96,0,0,0,0,0,7.84,0,0,1.96,0,13.72
