stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,0,0,0,0,0,0,2,0,0,10,0,0,0,1,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,13.13,0,0,0.82,0,4.1,0.82,0,0
 36-46,0,0,0,2.42,0,0,0,0,0.81,0,0,16.92,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,2.87,0.57,0,0,0,1.72,0,0,5.74,0,0,0,0,1.15,0,0,0
 60-70,0.98,0,0,4.91,0,0.98,0.98,0.98,0.98,0,0.98,8.83,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,1.96,17.67,0,0,0.98,1.96,0,6.87,0,0,0,0,1.96,0,0,0.98
 84-94,0,0,0,4.25,0,35.05,0,0,2.12,1.06,0,9.56,1.06,1.06,1.06,0,0,0,0,0
 96-106,4.37,0,0,4.37,0,84.15,1.09,0,2.19,3.28,0,22.95,0,0,0,0,0,0,0,0
108-118,0,0,0.77,3.06,1.53,128.68,0.77,1.53,1.53,0,0.77,22.21,0,0,3.06,0,0,0.77,0.77,0
120,0,0,0,7.84,0,115.63,1.96,1.96,0,0,0,29.4,0,0,0,0,0,0,0,0
