stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,32,1,0,3,0,0,0,8,1,0,0,0,0,0,0,2,18,0,0,36,35,8,0,1,0,0,0,3,0,2,15,58,0,0,0,0
 24-34,0,0,0.82,43.51,0,0,2.46,0,0.82,0,5.75,0.82,0.82,0,0,0,0,0,0,49.25,0,1.64,45.15,108.35,37.76,0,1.64,0,1.64,12.31,0,0,17.24,1.64,115.74,0,1.64,0,0
 36-46,0,0,0,16.11,0.81,0,3.22,0.81,1.61,0.81,11.28,0,0,0,0,0,0,0,0,63.65,0.81,4.03,19.34,186.92,40.28,0,0,0,0,3.22,0,0.81,14.5,0,132.13,0,1.61,0,0.81
 48-58,0,0,0,5.16,0.57,0,16.07,0,0,0.57,16.64,0,0,0.57,0.57,0.57,0,0,0,72.87,0,3.44,17.79,312.15,23.53,0,1.15,0.57,0.57,2.3,0,0,14.92,0,154.93,0,0.57,0.57,0
 60-70,0,0,0,4.91,0,0,15.7,0,0.98,0.98,20.61,0,0,0,0,0,0,0,0,111.89,0,8.83,24.54,329.79,19.63,0,0,0,0,0.98,0,0,5.89,0,134.47,6.87,0,0.98,0
 72-82,0,0,0,6.87,2.94,5.89,30.43,0,0.98,0,24.54,0,0,0,0,1.96,0.98,0.98,0,144.3,0,4.91,17.67,276.83,9.82,0,2.94,0,0.98,0,0,0,0.98,0,75.59,4.91,1.96,5.89,0
 84-94,0,0,0,9.56,0,5.31,27.61,0,1.06,2.12,18.05,1.06,1.06,0,1.06,0,0,0,2.12,84.96,0,8.5,9.56,126.38,24.43,1.06,2.12,0,0,1.06,0,0,2.12,0,66.91,5.31,1.06,11.68,0
 96-106,0,0,0,7.65,1.09,12.02,15.3,1.09,0,0,19.67,0,2.19,0,1.09,1.09,1.09,2.19,0,89.61,0,10.93,16.39,100.54,16.39,3.28,1.09,0,1.09,1.09,0,1.09,4.37,0,30.6,7.65,3.28,10.93,0
108-118,0,0,0,15.32,0.77,43.66,12.26,1.53,3.83,0,16.85,1.53,0,0,0,0,0,0.77,2.3,95.75,0,3.83,12.26,151.66,16.09,0.77,1.53,0,0,2.3,0,0,3.06,0,19.15,5.36,2.3,11.49,0.77
120,0,0,0,13.72,0,23.52,23.52,0,0,0,3.92,3.92,0,0,0,0,1.96,0,0,99.95,1.96,3.92,19.6,164.62,17.64,0,3.92,0,0,0,0,0,1.96,0,13.72,9.8,1.96,17.64,0
