stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,6.13,0,0,0,0,0,0
  7-9,5.26,7.89,18.4,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,197.15,18.4,0,252.36,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,9.44,0,88.12,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,7,0,0,3,0,24,0,0,21,7,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,6.57,0,0.82,0,2.46,0,0,0,0.82,2.46,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0.57,0,3.44,0.57,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,2.94,0,2.94,0,0.98,0,0,0,0,0,0,0,2.94,0,11.78,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,2.94,0,1.96,0,0,0,0.98,0,0,0,6.87,0,2.94,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,1.06,0,2.12,0,1.06,0,0,1.06,0,0,0,0,3.19,0,1.06,0,0,0,3.19,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0,1.09,0,2.19,0,0,0,2.19,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0.77,3.06,0,0.77,0,0,0.77,0.77,0,1.53,0.77,2.3,0,0,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
