stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,16,0,18,0,0,8,0,0,0,0,0,0,3,0,1,9,0,0,5,595,1,1,10,1,0,1,4,0,0,4,136,0,0,0,0
 24-34,0,0.82,0.82,12.31,0,35.3,0.82,0.82,14.78,0,0.82,0,0,1.64,0.82,22.16,0.82,1.64,47.61,0,0,18.88,975.18,0,1.64,19.7,0,0,6.57,0,0,0.82,0.82,222.45,0,1.64,0,5.75
 36-46,0,0,0,8.86,0,32.23,0.81,3.22,35.45,0,0,1.61,0,0.81,2.42,21.75,0.81,0,96.68,0,0.81,33.84,877.37,0.81,5.64,10.47,0,0,6.45,0.81,0,0,0,267.48,0,0.81,0,4.83
 48-58,0,0,0,6.89,0,59.1,1.15,12.62,61.4,0.57,0,0.57,0,0,2.87,25.82,1.15,0,199.11,0.57,1.72,40.17,529.62,0,2.3,10.9,0,0,1.72,0,0,0,0,180.75,0.57,0.57,0,2.87
 60-70,0,0,0,5.89,0,63.8,1.96,20.61,99.13,0,0,0,0.98,0,3.93,21.59,0,0,348.44,0,0,31.41,721.42,0.98,2.94,14.72,0,0.98,1.96,0,0,0,0,84.41,0.98,0.98,0.98,5.89
 72-82,0,0,0,7.85,1.96,74.61,1.96,11.78,86.39,0,0,0.98,0,0,3.93,28.47,0.98,0,447.64,0,5.89,37.3,576.24,0,1.96,20.61,0,0.98,1.96,0,0,0,0,43.19,2.94,0.98,7.85,5.89
 84-94,0,0,0,6.37,0,72.22,1.06,4.25,56.29,1.06,0,0,1.06,0,7.43,29.74,0,0,313.3,0,8.5,24.43,349.41,0,7.43,18.05,0,2.12,6.37,0,0,0,0,25.49,6.37,0,4.25,4.25
 96-106,0,0,0,4.37,1.09,60.11,1.09,12.02,62.29,1.09,0,2.19,2.19,0,8.74,40.44,4.37,0,245.89,0,1.09,18.58,277.58,0,2.19,25.14,0,4.37,4.37,0,1.09,0,0,9.84,5.46,2.19,13.11,5.46
108-118,0,0.77,0,6.13,0,29.87,2.3,6.13,41.36,0.77,0,0.77,0,0,9.96,19.15,0,0,216,0,2.3,15.32,347.75,0,3.06,23.74,0,1.53,1.53,0,0,0,0,11.49,2.3,0.77,2.3,9.96
120,0,0,0,11.76,1.96,50.95,0,1.96,27.44,0,0,0,0,0,0,13.72,0,0,143.06,0,1.96,19.6,297.89,0,3.92,11.76,0,0,1.96,0,1.96,0,0,17.64,3.92,0,5.88,0
