stage,blastomeres,exocrine_pancreas,eye,fin_epithelia,heart,lateral_line,mesenchyme,neural,otic,periderm,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,1.61,0,3.22,0,0
 48-58,0,0,0,0.57,2.87,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,0,1.09
108-118,0,0.77,0.77,0,2.3,0.77,0,0.77,0.77,0.77,0.77,0
120,0,0,0,0,3.92,0,0,0,0,0,0,1.96
