stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,4,0,0,0,2,3
 24-34,0,0,0.82,0,0,0,0,0.82,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,0,0.57,0,0,0,0.57,0,0
 72-82,0,0,0,1.96,0.98,1.96,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
