stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,7.89,0,0,0,0,0,0,0
 10-12,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,62,0,0,5,0,2,36,0,0,0,0
 24-34,0,0,0,0,3.28,0,3.28,8.21,0,0,0,0,1.64,0,0.82,60.74,0,0,0,0,7.39,23.8,0,0,0,0.82
 36-46,0,0,0.81,0,0.81,0,5.64,12.89,0,0,0,0,5.64,0,4.03,52.37,0,0,0,0,0,10.47,0,0,0.81,0.81
 48-58,0.57,0,0,0,8.03,0,5.16,37.87,0,0,0,0,6.31,0,0.57,41.31,0,0.57,0,0,0,8.03,0,0,0.57,0
 60-70,0,0,0.98,0,8.83,0,6.87,96.19,0,0,0,0,8.83,0,0.98,62.82,0,0,0,0.98,0,4.91,0,0,0,0
 72-82,0,0,0,1.96,17.67,0.98,11.78,134.49,0,0,0,0,17.67,0.98,0,98.17,0,0,0,0.98,0,4.91,0,0,0.98,0
 84-94,0,0,4.25,0,13.81,0,9.56,82.84,0,0,1.06,0,20.18,0,0,54.16,0,0,0,0,0,8.5,0,0,1.06,0
 96-106,0,0,3.28,0,26.23,0,9.84,89.61,1.09,1.09,0,2.19,20.76,0,0,57.92,0,0,0,1.09,0,3.28,1.09,0,0,0
108-118,0,0,3.06,0.77,8.43,0,3.83,78.89,0,0,0,0,24.51,0.77,0,78.13,0,0.77,0,0.77,0,9.19,0,0.77,0.77,0
120,0,0,1.96,0,15.68,1.96,1.96,78.39,0,0,0,0,11.76,0,0,47.03,0,0,0,0,0,3.92,0,0,0,0
