stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,10.51,0,0,0,0,0,0,36.8,0,0,7.89,0,0,0,0,0,0,0
 10-12,9.44,0,0,0,12.59,0,0,0,0,0,0,100.7,3.15,0,40.91,0,0,0,0,0,0,0
 14-21,0,6,2,0,2,0,0,0,0,1,2,8,0,0,0,0,4,8,1,0,0,0
 24-34,0,4.1,0,0,0.82,0.82,0,0.82,0,3.28,3.28,6.57,0,0.82,0,0,0,2.46,5.75,0.82,0,0.82
 36-46,0,0,0.81,0,3.22,0,0.81,0,0,2.42,0.81,8.06,0.81,0,0,0,0,0,0.81,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,0.57,1.15,7.46,0,0,0,0,0,0,2.87,0.57,0,0
 60-70,0,0.98,0,0,4.91,0.98,0,0,0,1.96,0,9.82,0,0.98,0,0.98,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,3.93,0,0,0,0,1.96,1.96,11.78,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,0,4.25,0,1.06,1.06,0,2.12,0,5.31,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,1.09,0,0,2.19,0,4.37,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0.77,0,0.77,2.3,0,4.6,0.77,0.77,0,0.77,0,0,0,0,0,0
120,0,0,1.96,1.96,1.96,0,0,0,3.92,0,0,9.8,0,0,0,1.96,0,0,0,0,0,0
