stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.64,12.59,0,0,100.7,0,0,0,3.15,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,14,6,0,10,0,0,0,5,1,0,0,0,0,0,0,0,13,0,0,16,97,6,1,1,4,0,0,1,30,1,100,322,64,0,0,1,0,0
 24-34,0,0,2.46,0,12.31,1.64,0,18.06,0,0,2.46,6.57,0.82,1.64,0.82,0.82,0,0,0.82,1.64,32.01,0,0,20.52,412.07,4.1,1.64,0.82,0,0,2.46,0,0,0.82,9.85,156.78,156.78,0,0,7.39,0,0
 36-46,0,0,0,0,7.25,0.81,0,53.98,1.61,0.81,4.03,8.06,0,0.81,0.81,0.81,0.81,0,0,3.22,42.7,0,0.81,30.62,462.45,0.81,2.42,1.61,0,0.81,1.61,0,0,0,3.22,1.61,194.17,0,0,4.83,0,1.61
 48-58,0,0,0,0,6.31,0.57,0,71.15,1.72,0.57,2.3,27.54,0,2.87,1.15,0.57,0,0.57,0,1.72,37.87,0,1.72,21.23,432.08,0.57,0,2.3,0,0,1.15,0,0,0.57,3.44,0,134.27,0,0,1.72,0,0.57
 60-70,0,0,0.98,0,2.94,0,0,139.38,12.76,0,2.94,26.5,0,0.98,3.93,0,1.96,0,0,0,89.32,0,0,15.7,597.75,1.96,1.96,1.96,0,0,0.98,0,0,0,4.91,0,108.95,0,0,3.93,0,0.98
 72-82,0,0,0,0,5.89,1.96,0,160.99,10.8,1.96,0.98,39.27,0,0.98,2.94,0,0.98,0,0,1.96,92.28,0,4.91,20.61,526.17,0.98,0.98,1.96,0.98,0.98,0.98,0,0,0,1.96,0,53.01,1.96,0.98,4.91,0.98,1.96
 84-94,0,0,1.06,0,8.5,2.12,0,110.45,11.68,3.19,0,30.8,1.06,0,6.37,2.12,2.12,0,1.06,5.31,58.41,0,2.12,20.18,310.11,0,0,2.12,0,0,0,0,0,0,1.06,0,20.18,1.06,0,6.37,1.06,0
 96-106,0,0,0,0,4.37,3.28,0,69.94,12.02,1.09,1.09,20.76,4.37,0,16.39,1.09,1.09,0,0,1.09,55.74,1.09,3.28,16.39,227.31,1.09,2.19,2.19,0,0,4.37,0,0,0,0,0,19.67,0,1.09,5.46,1.09,0
108-118,0,0,0,0,7.66,0.77,3.06,63.57,6.13,1.53,0.77,16.85,0,1.53,6.89,0.77,3.06,0,0.77,0.77,49.79,0,1.53,13.79,281.11,0,0,0.77,0,0,0.77,0,0,0,0.77,0,8.43,1.53,2.3,10.72,0.77,3.83
120,0,0,0,0,19.6,0,0,84.27,9.8,1.96,0,21.56,1.96,1.96,7.84,0,0,0,0,0,54.87,0,1.96,23.52,315.53,0,1.96,0,0,0,0,0,0,0,0,0,15.68,0,0,3.92,0,0
