stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,10,4,2,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,3,53,2,0,0,0,0,1,1,4,3,1,7,21,0,1,0,0
 24-34,0,0.82,0,0.82,3.28,0,13.13,0,0.82,0.82,3.28,0,0,0.82,0,0.82,0,0.82,0,0,9.03,0,0,4.1,158.43,0.82,1.64,1.64,0,0,10.67,0,0,2.46,0.82,0.82,41.04,0,4.93,0,0
 36-46,0,0,0,0,1.61,0,26.59,0,0,0,2.42,0,0,0.81,0,0,0,0.81,0,0,12.89,0,0,1.61,207.06,2.42,3.22,0,0,0,10.47,0,0,2.42,0,0,53.98,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,46.48,0,0,0.57,9.75,0.57,0,0.57,1.15,0.57,0.57,0,0,0,12.05,0,1.15,1.15,165.83,0,2.3,0.57,0,0,3.44,0,0,0,0,0,39.02,0,1.72,0,0
 60-70,0,0,0,0,0.98,0.98,103.06,0,0,1.96,8.83,0,0,0,0.98,0,0.98,0,0,0,11.78,0,0,0,162.93,0.98,2.94,0,0,0,8.83,0,0,0,0,0,36.32,0,5.89,0,1.96
 72-82,0,0,0,0,3.93,2.94,107.98,0.98,0,0,12.76,0.98,0,0,0,0.98,0,0,0,0,22.58,0.98,0.98,3.93,107.98,0,1.96,0.98,0,0.98,4.91,0,0,1.96,0,0,5.89,0,3.93,1.96,0
 84-94,0,0,0,0,2.12,1.06,78.59,0,2.12,1.06,15.93,5.31,0,0,4.25,3.19,0,1.06,0,0,16.99,0,1.06,2.12,55.23,0,3.19,0,0,0,21.24,0,0,1.06,0,0,9.56,1.06,2.12,0,1.06
 96-106,0,0,0,0,10.93,0,67.76,0,2.19,0,12.02,2.19,0,0,1.09,1.09,1.09,1.09,0,1.09,13.11,2.19,0,1.09,59.01,0,3.28,1.09,0,3.28,26.23,0,0,0,0,0,6.56,2.19,1.09,3.28,0
108-118,0,0,0,0,8.43,3.83,60.51,0,1.53,1.53,8.43,3.06,0,0.77,1.53,0.77,1.53,1.53,0.77,0.77,14.55,0,0,0.77,66.64,0,3.06,2.3,0,0,10.72,0,0,0.77,0,0,3.06,2.3,3.06,0,1.53
120,0,0,0,0,1.96,0,33.32,0,1.96,0,3.92,1.96,0,0,3.92,0,0,0,0,0,17.64,0,0,0,56.83,0,0,1.96,0,0,9.8,0,0,1.96,0,0,0,0,0,0,0
