stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,44.06,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,67,3,0,0,0,0,2,0,0,0,14,0,0,0,48,0,0,173,27,2,0,0,1,0,4,10,0,10,20,0,0,0,0,0
 24-34,0,0,0,45.15,0.82,4.1,0.82,0,9.03,13.13,0.82,0,0,55.82,0,0,0.82,132.16,2.46,0,284.02,43.51,0,0.82,0.82,0,0,13.95,4.1,0,13.95,23.8,0,0,1.64,0,0
 36-46,0,0,0,12.89,0,6.45,0,0,37.06,8.86,0,0,0,17.72,0,0,0,145.02,0,0,209.47,28.2,0,0,0,0,0,4.83,3.22,0,0,23.36,0,0,0.81,0,0
 48-58,0,0,0,29.26,0,8.03,0,1.72,42.46,6.31,0.57,0.57,0,21.23,1.15,0,0,239.28,2.87,0.57,110.74,23.53,0,0,0,0,0,4.02,0,0,0,9.75,0,0,0,0,0
 60-70,0,0,0,47.11,0,15.7,0,0.98,41.22,6.87,1.96,0,0,23.56,0,0,0,259.12,0.98,0.98,47.11,25.52,0,0,0.98,0,0,2.94,0,0,0,1.96,4.91,1.96,0.98,0,0
 72-82,0,0,0,121.73,0,45.16,0,0.98,77.55,6.87,13.74,0,0,72.64,0,0,0.98,408.37,11.78,3.93,62.83,43.19,0,1.96,0,0,0.98,2.94,0,0,0,4.91,24.54,6.87,0,0.98,0.98
 84-94,1.06,0,0,198.6,0,44.61,1.06,4.25,48.85,12.74,26.55,0,0,125.32,1.06,0,1.06,294.18,5.31,2.12,33.99,16.99,1.06,3.19,1.06,0,0,23.36,0,1.06,0,4.25,107.27,5.31,4.25,1.06,0
 96-106,1.09,0,0,272.12,1.09,37.16,1.09,3.28,42.62,9.84,60.11,0,1.09,115.84,0,1.09,2.19,307.09,7.65,4.37,36.06,38.25,0,1.09,1.09,0,2.19,13.11,0,0,0,0,143.16,1.09,6.56,1.09,1.09
108-118,0,0,0,210.64,0.77,12.26,0,2.3,39.83,6.13,45.96,0,1.53,88.85,0.77,0,0,327.07,6.13,2.3,33.7,23.74,0,0.77,0,0,1.53,13.02,0,0.77,0,0.77,130.98,2.3,2.3,0,0
120,0,0,0,154.82,3.92,11.76,0,3.92,37.24,0,31.36,0,1.96,39.2,0,3.92,1.96,209.7,9.8,1.96,15.68,31.36,0,3.92,1.96,0,0,13.72,0,0,0,0,48.99,0,0,1.96,0
