stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,2780.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,514.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,2.63,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.29,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,1,0,15,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,2,45,2,0,1,0,0,1,3,1,0,0,7,0,0,4,0,0
 24-34,0,0,2.46,0,5.75,0.82,0,31.19,0,1.64,0.82,3.28,0.82,0,0,0,0,0.82,1.64,0,4.1,10.67,0,0,3.28,113.28,3.28,7.39,1.64,0,0,6.57,0,0,0.82,0,30.37,0,0,12.31,0,2.46
 36-46,0,0,0,0,1.61,0.81,0,37.87,0,0,0,13.7,0,0,0,0,0,1.61,0.81,0,3.22,20.14,0,0,2.42,81.37,1.61,1.61,0,0,0,4.03,0,0,0.81,0,24.17,0,0,4.83,0,3.22
 48-58,0,0,0,0,0.57,0.57,0,53.94,0.57,0,0.57,25.25,0,0.57,0.57,1.72,0.57,1.15,0.57,0,2.87,25.82,0,1.15,2.87,64.84,1.72,2.3,1.15,0,0,0,0,0,0.57,0,14.92,0,0,4.59,0,6.31
 60-70,0,0,0.98,0,1.96,0,0,53,0.98,0,0.98,40.24,0,0,0,2.94,0.98,0,0,0.98,1.96,26.5,0.98,0,1.96,42.21,0.98,3.93,0.98,0,0.98,0,0,0,0.98,0.98,18.65,0,0,3.93,0,5.89
 72-82,0,0,0,0,3.93,0.98,0,60.86,0.98,0.98,4.91,70.68,0.98,0,0,8.83,0.98,2.94,1.96,0,0,67.73,0.98,1.96,9.82,85.4,0,7.85,7.85,0,0.98,2.94,0,0,0.98,0.98,9.82,0.98,0.98,7.85,0.98,2.94
 84-94,0,0,0,0,7.43,0,0,59.47,0,0,2.12,39.3,4.25,0,0,3.19,2.12,4.25,1.06,3.19,3.19,52.04,0,4.25,4.25,60.54,0,7.43,13.81,0,0,13.81,0,0,0,0,5.31,0,2.12,7.43,3.19,1.06
 96-106,0,0,1.09,0,6.56,3.28,1.09,44.81,0,0,1.09,37.16,7.65,0,1.09,6.56,0,5.46,2.19,7.65,0,61.2,1.09,1.09,4.37,57.92,0,12.02,6.56,0,0,7.65,0,0,1.09,1.09,2.19,2.19,2.19,12.02,3.28,1.09
108-118,0,0,1.53,0,6.89,1.53,0,44.43,0,0.77,3.06,32.17,3.06,0,0.77,5.36,1.53,11.49,1.53,1.53,3.06,51.32,0,0.77,6.13,69.7,1.53,8.43,3.83,0,0,4.6,0,0,1.53,0.77,3.83,0.77,0.77,8.43,1.53,0.77
120,0,0,0,0,7.84,5.88,0,19.6,0,1.96,1.96,25.48,7.84,0,5.88,3.92,1.96,0,1.96,0,0,35.28,0,0,7.84,45.08,3.92,7.84,3.92,0,0,15.68,0,0,0,0,3.92,1.96,0,1.96,1.96,0
