stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,1,0,4,17,1,0,0,1,0,2,5,0,0,0,0
 24-34,0,0,2.46,0,0,1.64,0,0.82,1.64,0,0.82,21.34,0,0,0,0,0.82,0,4.1,0,0,0.82,0
 36-46,0,0,0,0.81,0.81,0.81,0,0,0,0,3.22,18.53,0,0,2.42,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,5.16,0,0.57,0,0,2.3,0,0,26.4,0.57,0,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,1.96,6.87,0,0.98,0,0,5.89,0,0,11.78,0.98,0,0.98,0,0,0,1.96,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,0.98,1.96,3.93,0,0,1.96,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,3.19,0,1.06,0,2.12,1.06,0,0,1.06,1.06,0,2.12,0,0,0,0,1.06,1.06,0,1.06
 96-106,0,0,1.09,1.09,0,0,0,2.19,3.28,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,0,0,2.3,0,0,0,2.3,0,0,0.77,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
