stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,10,181,393,101,0,234,0,1,0,37,48,1,4,1,5,0,1,29,4,380,0,0,565,1531,37,4,102,7,0,1,0,83,17,5,557,302,0,0,5,0,1
 24-34,0.82,13.13,109.99,219.99,31.19,0,232.3,0.82,0.82,10.67,90.29,27.09,1.64,7.39,0.82,2.46,1.64,14.78,69.77,3.28,1064.65,1.64,4.1,739.59,1760.74,71.41,26.27,102.61,0.82,1.64,10.67,0,6.57,18.88,5.75,116.56,470.35,0,0,28.73,0,1.64
 36-46,0,2.42,15.31,96.68,4.03,0,171.61,1.61,0,34.64,209.47,29,0,8.06,3.22,1.61,0,20.95,58.81,0,1343.05,0.81,26.59,481.79,1524.33,42.7,6.45,72.51,0,2.42,8.06,0,6.45,10.47,0.81,0.81,389.14,0,2.42,9.67,0.81,0.81
 48-58,0.57,4.59,9.75,47.63,1.15,0,249.61,0.57,1.15,46.48,363.22,50.49,0,10.33,6.31,1.15,1.15,17.79,41.89,0.57,1611.82,1.72,39.59,325.92,971.45,53.36,4.59,76.89,0,5.74,4.02,0,0,5.16,0,0.57,256.49,0,6.89,10.9,1.72,4.02
 60-70,0.98,2.94,0.98,20.61,2.94,0,294.46,2.94,0.98,39.26,419.11,60.85,0.98,4.91,9.82,2.94,1.96,16.69,41.22,0.98,1792.26,0,49.08,215.93,553.58,68.71,4.91,47.11,0,9.82,4.91,0,0,0,0.98,0,110.91,0.98,28.46,8.83,12.76,2.94
 72-82,0,10.8,0,34.36,9.82,0,383.83,4.91,1.96,63.81,393.65,68.72,0,6.87,25.52,1.96,0,22.58,57.92,0,2206.78,0.98,65.77,232.65,447.64,61.84,6.87,75.59,0,17.67,11.78,0,0,1.96,0,0,58.9,1.96,52.03,41.23,41.23,1.96
 84-94,0,5.31,5.31,66.91,10.62,0,499.16,3.19,4.25,43.54,286.75,98.77,0,11.68,39.3,7.43,8.5,20.18,127.44,1.06,1513.4,0,65.85,175.24,291,97.71,5.31,63.72,0,11.68,30.8,0,0,5.31,1.06,0,49.92,1.06,45.67,42.48,43.54,2.12
 96-106,1.09,4.37,4.37,69.94,13.11,2.19,451.35,7.65,10.93,29.51,319.11,65.57,0,8.74,78.68,4.37,4.37,24.04,102.73,3.28,1359.5,3.28,56.83,147.53,343.15,89.61,20.76,113.66,0,30.6,32.79,0,0,6.56,2.19,0,52.46,7.65,32.79,72.13,44.81,8.74
108-118,0,7.66,6.89,41.36,9.19,1.53,364.6,2.3,5.36,25.28,249.7,54.38,0,5.36,68.17,3.06,0.77,11.49,164.68,1.53,1210.99,2.3,52.09,114.89,344.68,81.19,4.6,84.26,0,22.21,13.79,0.77,0,1.53,0,0,25.28,3.06,19.92,59.75,26.04,3.06
120,1.96,1.96,1.96,21.56,7.84,3.92,270.45,1.96,9.8,21.56,276.33,33.32,0,13.72,48.99,7.84,1.96,9.8,146.98,0,1023.01,1.96,58.79,88.19,391.96,137.18,15.68,72.51,0,23.52,13.72,0,0,0,0,0,27.44,1.96,27.44,37.24,29.4,0
