stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,glial,gut,immune,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,10.51,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,33,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,33.84,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,4.02,0,1.72,0,0,0.57,0.57,1.72,0.57,78.61,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,22.58,0,11.78,0,0,0,0,2.94,0,159.99,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0.98,68.72,0.98,12.76,0,0,0,0,8.83,3.93,193.39,0,1.96,0,0.98,0,2.94,0.98
 84-94,0,0,0,0,0,26.55,0,7.43,1.06,1.06,0,0,5.31,0,92.4,0,0,0,0,0,1.06,2.12
 96-106,0,0,0,0,3.28,30.6,0,12.02,0,0,0,0,6.56,0,68.85,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,0.77,16.09,0,19.15,0,0,0,0,8.43,0.77,98.81,0,0,0,0,0,2.3,0
120,0,0,0,0,0,3.92,0,15.68,0,0,0,0,5.88,0,84.27,0,0,0,0,0,1.96,0
