stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
 14-21,3,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,33,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0,1.64,5.75,0.82,0,0.82,0,17.24,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0.81,0.81,1.61,0,0,0.81,9.67,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,2.87,0,0,0.57,0,0,0,0,0,0,0,5.74,0,0,0,0,2.87,0.57,1.72,0,0.57,0
 60-70,0,1.96,0,0.98,0.98,0,0,0,0.98,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,2.94,0,0,0.98,0.98,0,0,0,0,0,0.98,14.72,0,0.98,0,0,0,0,0.98,0,0,0.98
 84-94,1.06,4.25,0,0,1.06,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,3.28,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0.77,0,0.77,0,0,0.77,0,0.77,0.77,0,0,0,0
120,0,3.92,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
