stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,1423.22,22705.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.7,0,0,0,0,0,0,0,0,0,0
  5-6,1336.26,14557.88,0,30.65,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,361.65,18.39,0,0,104.2,0,453.59,0,0,0,0,0,0,0,0,0,0
  7-9,94.63,86.75,0,155.09,0,2.63,210.3,0,0,0,0,99.89,0,0,0,0,0,0,0,0,0,2881.07,92,0,0,872.73,0,15.77,81.49,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,0,47.2,0,6.29,116.44,0,0,0,0,25.18,0,0,0,0,0,0,0,0,3.15,692.33,22.03,0,0,198.26,0,0,72.38,3.15,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,4,110,6,6,0,0,0,14,1,4,0,0,1,0,12,0,0,10,154,10,6,9,1,0,6,18,9,1,5,17,44,0,0,1,0
 24-34,0,0,0.82,0,8.21,2.46,4.93,0,0,3.28,0.82,3.28,1.64,0,0.82,0,0,5.75,0,0,0,150.22,0,4.1,8.21,0,0,6.57,2.46,0,0,0.82,0,23.8,0,0,0,0
 36-46,0,0,0,0,3.22,0.81,10.47,0.81,0,7.25,0,0.81,0.81,0,0,0,0,5.64,0,0,0,178.05,0.81,16.92,4.83,0,0.81,1.61,4.83,0,0,0,0,29,0,0,0,0
 48-58,0,0,0,0,1.15,0,14.35,0,0.57,6.89,0,2.87,0,0,0,0,0,5.16,1.15,0,0,80.91,0.57,5.16,2.3,0,0,1.15,1.15,0,0,0,0,14.92,0,0,0,0
 60-70,0,0,0,0,2.94,0,22.58,0.98,0.98,3.93,0.98,11.78,0.98,0,0,0,0.98,2.94,0.98,0.98,0,80.48,0,9.82,2.94,0,0,0,0.98,0,0,0,0,8.83,0,0,0,0
 72-82,0,0,0,0,2.94,0,27.49,0,0.98,6.87,0,6.87,0,0,0,0,0,6.87,0,0,0.98,58.9,0,10.8,1.96,0,0,0.98,0.98,0,0,0,0,4.91,0,0,0,0
 84-94,0,0,1.06,0,2.12,0,19.12,0,1.06,4.25,0,8.5,1.06,2.12,2.12,0,0,4.25,0,0,1.06,28.68,0,7.43,3.19,0,0,1.06,0,0,0,0,0,3.19,0,0,0,1.06
 96-106,0,0,0,0,2.19,0,12.02,0,0,4.37,1.09,1.09,2.19,0,0,0,0,2.19,0,0,0,19.67,0,16.39,5.46,0,0,0,2.19,0,0,0,0,1.09,1.09,1.09,0,0
108-118,0,0,0,1.53,0.77,1.53,3.83,0,0.77,2.3,3.06,0,3.06,0,0.77,0.77,0,4.6,0,0,0.77,24.51,0,13.79,0,0,0,1.53,2.3,0,0,0,0,2.3,1.53,0,0.77,0
120,0,0,0,0,1.96,0,1.96,0,1.96,0,1.96,0,1.96,0,0,0,0,7.84,0,0,0,25.48,0,11.76,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0
