stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,13,2,0,0,0,0,0,1,0,1,5,10,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,3.28,27.09,0.82,0,0,0,0,2.46,0,0,0.82,2.46,6.57,0,0.82,0,0
 36-46,0,0,3.22,0,2.42,0.81,0,1.61,0,0,0,0,0,0,0,0,6.45,0,0.81,2.42,24.17,0.81,0,0.81,0,0,6.45,0,0,0,0,8.86,0,0.81,0,0
 48-58,0,0,1.72,0,3.44,0,1.15,3.44,0,0,0,0,0.57,0,0,0.57,9.75,0,0.57,1.15,12.05,0.57,0,0,0,0,2.3,0,0,0,0,4.02,0,1.72,0,0
 60-70,0,0,2.94,0,6.87,0,0,5.89,0,0,0,0,0,0,0,0,9.82,0,0,0.98,5.89,0,0,0,0,0.98,1.96,0,0,0,0,0.98,0,1.96,0,1.96
 72-82,0,0,2.94,3.93,4.91,1.96,0.98,15.71,0,0,0.98,0,0,0,0,0,26.5,1.96,0,1.96,15.71,0,0,0.98,0,0,3.93,0,1.96,0,0,0,0,1.96,0,3.93
 84-94,0,0,6.37,0,4.25,2.12,0,7.43,1.06,0,2.12,0,1.06,0,0,0,19.12,0,1.06,2.12,6.37,0,2.12,1.06,0,1.06,7.43,0,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,6.56,4.37,5.46,0,3.28,7.65,2.19,0,4.37,0,0,1.09,1.09,0,20.76,1.09,0,2.19,9.84,2.19,0,1.09,0,0,5.46,0,1.09,0,0,1.09,0,1.09,1.09,3.28
108-118,0,0,4.6,1.53,3.83,0,0.77,7.66,0,0,0,0.77,1.53,0.77,0,0,21.45,0,1.53,2.3,9.96,0.77,0,0,0,0,10.72,0,0,0,0,2.3,1.53,0.77,0,0.77
120,0,0,9.8,5.88,1.96,1.96,0,5.88,0,1.96,1.96,0,0,0,0,0,11.76,0,0,1.96,11.76,0,3.92,0,0,0,11.76,0,1.96,1.96,0,1.96,0,0,3.92,1.96
