stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,4,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,3.28
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,2.42,0,0,0,0,0,3.22
 48-58,0,0,0,2.87,0,0.57,0.57,0,1.15,0,0,0,0,0,0.57,1.72,0,0,0,0,0,0,0,0,0,1.15
 60-70,0,0.98,0,115.82,0,0.98,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,2.94,0.98,336.71,0,9.82,0,0.98,0,0,0,0,2.94,0,0,26.5,0,0.98,0,0.98,0,0,1.96,0,0.98,0.98
 84-94,0,0,1.06,223.03,0,9.56,0,0,2.12,0,0,0,4.25,1.06,0,14.87,1.06,1.06,0,0,0,1.06,0,0,1.06,1.06
 96-106,1.09,3.28,0,248.08,0,15.3,0,1.09,0,2.19,0,0,7.65,0,1.09,17.49,1.09,1.09,0,0,0,1.09,1.09,1.09,0,0
108-118,0,1.53,1.53,138.64,0,4.6,0,0,0.77,0,1.53,0,3.06,0.77,0,13.79,0,0,0,0,0,0.77,0,0,0,0
120,0,1.96,1.96,107.79,1.96,9.8,0,0,0,0,0,0,1.96,0,0,9.8,0,1.96,0,0,0,0,0,1.96,0,0
