stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,36.78,42.91,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,0,141.95,0,2.63,0,0,0,0,0,0,0,233.96,0,0,0,0,0,0,0,0,0,0,262.87,2.63,0,0,10.51,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,132.17,0,12.59,0,9.44,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,1029.06,18.88,0,0,69.23,0,3.15,0,0,9.44,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,10,587,6,0,4,0,0,0,0,2,2,0,0,10,0,3,0,51,1,0,61,210,3,26,130,0,0,6,0,95,1,125,1282,11,0,0,0,0,0
 24-34,0,0,0,0.82,123.13,0,0,4.93,0.82,0,3.28,0,0,4.93,0,0,13.13,0,32.83,1.64,105.89,7.39,0,71.41,204.39,0,41.86,89.47,0,0,12.31,0,3.28,0,24.63,161.71,6.57,0,0,0.82,0,0
 36-46,0,0,0,0,27.39,0,0,3.22,4.83,0.81,4.03,0,0,0,0,0,6.45,0.81,15.31,0,100.71,4.03,0,72.51,150.66,0.81,13.7,33.03,0,0,4.03,0,0,0,5.64,4.83,4.83,0,0.81,0.81,0,0.81
 48-58,0.57,0,0,0,19.51,0,0,8.61,3.44,0,5.16,2.87,0,2.3,0,0,4.02,0,24.1,0,113.04,5.16,0,63.12,108.45,0.57,8.61,33.28,0,0,3.44,0,0,0,0.57,0.57,5.74,0,0,0.57,0,0.57
 60-70,0,0,0,0,13.74,0,0,10.8,11.78,0,3.93,1.96,0,0,0,0.98,9.82,0,15.7,0,96.19,0,0,51.04,72.63,0,6.87,25.52,0,0,1.96,0,0,0,2.94,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,10.8,0,0,10.8,3.93,0,1.96,3.93,1.96,0.98,0,0,9.82,0.98,35.34,0,167.86,4.91,1.96,74.61,89.33,0,14.72,56.94,0,1.96,0.98,0,0,0,0.98,0,0.98,0,0.98,0,0.98,0
 84-94,0,0,0,0,16.99,0,0,23.36,11.68,1.06,5.31,3.19,1.06,2.12,0,0,16.99,1.06,27.61,0,80.71,5.31,0,59.47,64.78,0,29.74,59.47,0,0,5.31,0,0,0,2.12,0,2.12,0,2.12,0,1.06,0
 96-106,0,0,0,0,20.76,1.09,1.09,9.84,8.74,0,7.65,8.74,0,0,1.09,2.19,20.76,0,49.18,1.09,99.45,8.74,1.09,67.76,74.31,4.37,54.64,90.71,0,0,5.46,1.09,0,0,3.28,0,0,2.19,0,2.19,0,0
108-118,0,0,0,0,16.85,0,0,9.19,13.02,1.53,7.66,6.89,0,0,0.77,0.77,26.81,0.77,26.81,0.77,74.3,3.06,0.77,88.09,75.06,0,29.87,68.17,0,0,1.53,0,0,0,0,0,0,3.06,0.77,0.77,0,0
120,0,0,0,0,13.72,5.88,0,0,13.72,0,3.92,9.8,1.96,0,0,0,5.88,0,21.56,1.96,68.59,3.92,0,78.39,62.71,0,21.56,52.91,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
