stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,3,44,4,0,28,0,0,0,12,0,0,0,0,0,0,0,0,20,0,0,20,279,1,1,2,8,0,1,39,3,0,44,81,0,0,0,0,0
 24-34,0,0,2.46,13.13,1.64,0,50.07,0,0,0,13.95,0,0,0.82,3.28,0.82,0.82,1.64,0.82,36.12,0,0,19.7,470.35,0,9.03,4.93,0,0,5.75,0,1.64,0.82,10.67,108.35,0,0,5.75,0,0.82
 36-46,0,0,0,8.06,1.61,0,67.68,0,0.81,2.42,20.95,1.61,0,0,0,1.61,0.81,2.42,0,38.67,0,0,13.7,373.83,0,4.03,3.22,0,0,6.45,0,0.81,0,0,87.01,0,0,1.61,0,0
 48-58,0,0,0,4.02,0.57,0,107.3,2.3,0,1.72,32.13,0,0.57,0,0,0,2.3,0.57,0,48.77,0,5.16,13.77,280.59,0,2.87,0,0,0.57,1.72,0,0,0,0,42.46,0,0,2.3,0,0
 60-70,0,0.98,0,5.89,0,0,107.97,0,2.94,1.96,27.48,0.98,0.98,0,0.98,0.98,3.93,0,0,69.69,0,0.98,9.82,285.62,1.96,2.94,0.98,0,0,7.85,0,0,0,0,25.52,0.98,0,2.94,0.98,0
 72-82,0,0,0,9.82,11.78,0,91.29,0,0,3.93,34.36,2.94,0,0.98,0,0.98,2.94,0,0,74.61,0,2.94,11.78,220.87,0,6.87,5.89,0,1.96,3.93,0,0,0,0,20.61,1.96,0,7.85,0.98,1.96
 84-94,0,0,0,10.62,9.56,1.06,62.66,0,2.12,1.06,20.18,1.06,0,1.06,0,0,0,0,0,38.23,0,3.19,8.5,130.63,2.12,5.31,8.5,0,1.06,16.99,0,0,0,0,13.81,0,1.06,5.31,3.19,0
 96-106,1.09,0,0,13.11,12.02,0,33.88,0,0,3.28,20.76,1.09,1.09,5.46,1.09,1.09,2.19,0,0,54.64,0,3.28,13.11,92.89,0,4.37,4.37,0,1.09,14.21,0,0,0,0,4.37,0,1.09,1.09,1.09,0
108-118,0,1.53,0,16.85,6.13,0,24.51,0,0.77,4.6,11.49,1.53,1.53,0.77,1.53,0,1.53,0,0,39.06,0.77,3.83,4.6,95.75,0.77,3.06,2.3,0,0.77,11.49,0,0,0,0,0,0,0,3.83,0.77,2.3
120,0,0,0,41.16,11.76,0,54.87,0,3.92,1.96,37.24,7.84,3.92,3.92,0,0,1.96,0,0,88.19,0,3.92,19.6,182.26,1.96,1.96,0,0,1.96,33.32,0,1.96,0,0,7.84,1.96,0,7.84,3.92,0
