stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,15,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,9.03,0,0,0.82,0,0,0,0,0,0.82,0,0,0.82,0.82,0,0.82,0,0.82,0,0,2.46,0,0,0
 36-46,0,0,0,6.45,0,1.61,0.81,1.61,0,0,0,0,2.42,0,0,0.81,4.03,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,6.31,0,0,0.57,1.15,0,0,0,0,4.02,0.57,0,0,6.89,0.57,0,0,0.57,0,0,1.15,0,0,0
 60-70,0,0,0,8.83,0,0.98,0.98,0.98,0.98,0,0,0.98,17.67,0,0,0.98,7.85,0.98,0,0,0.98,0,0,1.96,0,0,0
 72-82,0,0,0,8.83,0,0.98,0,1.96,0,0,0,0.98,22.58,0,0,0,10.8,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,9.56,0,0,3.19,8.5,3.19,1.06,2.12,0,10.62,0,0,2.12,6.37,0,0,0,2.12,0,0,1.06,0,0,1.06
 96-106,0,0,0,5.46,0,1.09,3.28,2.19,0,0,3.28,1.09,14.21,0,0,0,4.37,1.09,2.19,0,5.46,0,0,0,2.19,0,0
108-118,0,0,0,11.49,0,1.53,2.3,3.06,0,0.77,0.77,0.77,17.62,0,0.77,0,3.83,0,0.77,0,3.83,0,0.77,0,0,0,0
120,0,0,0,15.68,0,1.96,0,0,0,0,0,0,9.8,0,0,0,3.92,0,0,0,5.88,0,0,0,0,1.96,0
