stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,somites,spinal.cord
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,4,1,0,3,3
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,4.83,0,0,0,1.61
 48-58,0,0,0.57,0.57,0,0,0,1.15,0,0,0,0.57
 60-70,0,0,0,0.98,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0.77,1.53,0,0,0,0
