stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,55.2,0,0,2.63,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,94.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,59.79,232.88,0,47.2,22.03,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,1941.68,9.44,0,0,94.41,3.15,3.15,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,1,212,5,30,0,1,0,1,0,1,0,1,0,2,0,61,0,0,20,1194,4,0,1,1,2,0,2,0,0,1,66,0,0,0,0
 24-34,0,0,0.82,123.13,2.46,256.11,0,9.03,0,13.13,0,0.82,0,0,0,10.67,0,159.25,0,0,13.13,1063.83,0.82,1.64,0.82,0,5.75,0,0,0,0.82,1.64,119.02,0,2.46,0,0
 36-46,0,0,0.81,62.84,0.81,407.67,0,32.23,1.61,14.5,0,0,0,0,0,7.25,0,146.63,0.81,0,8.06,405.25,0,1.61,1.61,0,1.61,0,0,0.81,0,0,78.96,0,0,0,0
 48-58,0,0,0,39.59,1.72,308.13,0.57,40.17,2.87,24.67,0,1.15,0,0,0,10.33,0.57,148.04,1.15,0.57,4.02,145.17,0.57,0.57,2.3,0,5.74,0,0,0,0,0,39.02,0,0.57,0,0.57
 60-70,0,0,0,40.24,2.94,148.21,0,45.15,0.98,28.46,0,0,0,0.98,0,9.82,0,83.43,0.98,0,1.96,71.65,0,0,1.96,0,15.7,0,0,0,0,0,22.58,0,0,0,0.98
 72-82,0,0,0,45.16,4.91,67.73,0,38.28,1.96,44.17,0.98,0,0,0,0,9.82,0,51.05,1.96,0.98,0,35.34,0,0.98,0,0,30.43,0,0,0,0,0,11.78,0,0,0.98,0
 84-94,0,0,0,95.58,4.25,103.02,0,131.69,0,28.68,1.06,1.06,0,4.25,0,8.5,0,61.6,1.06,1.06,0,27.61,0,0,3.19,0,53.1,0,0,0,0,0,8.5,1.06,1.06,0,0
 96-106,0,0,0,195.62,12.02,83.06,0,150.81,0,26.23,1.09,0,1.09,6.56,0,15.3,1.09,44.81,4.37,1.09,1.09,28.41,0,4.37,1.09,0,162.83,0,0,0,0,0,6.56,0,0,1.09,0
108-118,0,0,0,176.17,5.36,51.32,0.77,229.02,0.77,35.23,0.77,0,0.77,5.36,0.77,13.79,0,34.47,3.83,0,1.53,25.28,0,0.77,1.53,0,63.57,0,0,0,0,0,0.77,0.77,0,0,0
120,0,0,0,176.38,0,45.08,0,141.1,0,27.44,1.96,0,0,3.92,0,13.72,0,27.44,7.84,0,0,21.56,0,0,0,0,76.43,0,0,0,0,0,5.88,0,0,0,0
