stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.12,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,3.15,0,0,22.03,0,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,0,1,0,0,0,0,1,2,0,1,42,0,0,0
 24-34,0,0,0,0,0,0,6.57,0,0,2.46,0,0,0,0.82,0,0,0,0,3.28,0,4.1,280.73,0,2.46,1.64,0,0,0,0,0,0.82,0,109.17,0,1.64,0
 36-46,0,0,0,0,0.81,0,4.03,0.81,0,0.81,0,0.81,0,0,0,0,0,0,2.42,0.81,0,402.03,0,7.25,0.81,0,0,0.81,0,0,0,0,140.19,0,1.61,0
 48-58,0,0,0,0,1.72,0,32.71,0,1.72,5.74,0,0,0,0,0,0,0,0,10.9,0,2.3,486.59,0.57,4.02,1.72,0,0.57,0,0,0,0,0,176.16,0,0,0
 60-70,0,0,0,0,0.98,0,53.98,0,0,3.93,0,0,0,0,0,0.98,0,0,7.85,0,0,807.79,0,4.91,0,0,0,0,0,0,0,0,208.08,0,0.98,0
 72-82,0,0,0,0,3.93,4.91,140.38,0,1.96,16.69,0,0,0.98,0,0,0,0,0.98,20.61,0,2.94,973.81,0.98,19.63,0,0,0,2.94,0,0,0,0,146.27,0,0.98,0
 84-94,0,0,1.06,0,4.25,0,100.89,0,1.06,11.68,0,0,1.06,0,0,0,0,0,11.68,1.06,1.06,521.46,0,11.68,1.06,0,0,4.25,0,0,0,0,77.53,1.06,0,0
 96-106,0,0,0,0,7.65,1.09,95.08,1.09,0,20.76,0,0,0,0,1.09,1.09,1.09,1.09,10.93,1.09,0,465.55,0,31.69,3.28,0,0,2.19,0,0,0,0,25.14,0,0,1.09
108-118,0,0,0,0,9.96,0.77,94.21,0.77,0,25.28,0.77,0,0,0,0,0,0.77,0,13.79,0,1.53,736.09,0,14.55,1.53,0,0,3.83,0,0,0,0,33.7,0.77,0.77,2.3
120,0,0,0,0,9.8,0,68.59,1.96,0,15.68,0,0,1.96,0,0,0,0,1.96,1.96,0,1.96,683.97,0,19.6,1.96,0,1.96,1.96,0,0,0,0,31.36,0,1.96,0
