stage,epidermis,eye,glial,gut,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord
  7-9,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0
 14-21,1,0,1,0,0,0,2,0,1,1,1,1,5
 24-34,0,0.82,1.64,0,0.82,2.46,2.46,0,1.64,0,0,0,4.1
 36-46,0,2.42,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,1.15,0,0,0.57,0,2.87,1.15,0,0,0,0,0.57
 60-70,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,1.96,0.98,0,0,0,0,0
 84-94,1.06,0,1.06,0,2.12,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,2.19,0,0,0,0,0
108-118,0,0.77,0.77,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0
