stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,79.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,2.87,0,0,0,0,0.57,0,0,0,0
 60-70,0,0.98,0,578.12,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,7.85,0,984.61,0,0.98,0.98,14.72,0,0.98,0,0,0,0.98,8.83,0,0.98,0.98,30.43,0,0.98,1.96,0,0.98,0,0,1.96,0.98
 84-94,0,9.56,1.06,728.56,1.06,0,0,16.99,1.06,0,0,0,1.06,1.06,5.31,1.06,0,0,12.74,0,0,1.06,2.12,0,0,0,1.06,0
 96-106,0,2.19,3.28,621.83,0,0,0,9.84,1.09,0,3.28,0,0,1.09,7.65,0,0,1.09,14.21,0,0,0,2.19,0,1.09,0,2.19,0
108-118,0,0.77,0.77,351.58,0,0.77,0.77,4.6,0.77,0,0,0,0,0,4.6,0,0,0,11.49,0,0,0.77,0,1.53,0.77,0,0,0
120,0,1.96,0,250.85,0,0,0,5.88,0,1.96,1.96,1.96,0,0,1.96,0,0,0,15.68,1.96,0,0,1.96,0,0,0,0,0
