stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,0,1,0,0,3,0,1,0,0,0,0,0,3,0,3,69,0,0,2,0,1,13,0,7,47,12,0,0,0,0,0
 24-34,0,0,0,1.64,0,3.28,0,0,3.28,0,0,0,0.82,0,0,0,6.57,0,0.82,255.29,0,0,0.82,0,4.93,0,0,0.82,9.03,30.37,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,6.45,0.81,0.81,39.48,0,0,0,0,0,0.81,1.61,4.83,1.61,0.81,286.82,0,0,0.81,0,3.22,0,0,0,0,53.98,0,0,0,0,0
 48-58,0,0,0,0,0,4.02,0.57,0,61.97,0,0,0,0,0,0,0,4.59,0.57,4.59,86.07,0,0,1.15,0,1.72,0,0,0,0,30.41,0,0,0,0,0
 60-70,0,0,0,0.98,0,4.91,0,0,96.19,0.98,0,0.98,0,0,0.98,0.98,11.78,0.98,0.98,39.26,0,0.98,0,0,0,0,0.98,0,0,20.61,0,0,0,0,0
 72-82,0,0,0,0.98,0,3.93,0,0,68.72,0,0,0,0,0,0.98,0,4.91,0,0.98,25.52,0,0,2.94,0,0,0,0,0.98,0,1.96,1.96,0.98,0,0.98,0
 84-94,0,0,0,1.06,0,6.37,0,3.19,37.17,1.06,0,1.06,0,1.06,0,0,6.37,0,4.25,24.43,0,1.06,2.12,0,3.19,0,0,0,0,9.56,0,0,3.19,1.06,0
 96-106,0,0,0,0,0,4.37,0,0,28.41,2.19,0,1.09,0,1.09,0,0,4.37,0,2.19,18.58,0,0,0,0,3.28,0,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0,0,1.53,0.77,6.89,0,0,22.21,0,0,0,0,0.77,0.77,0,4.6,0,3.06,16.85,0,0,1.53,0,0.77,0,0,0,0,0.77,0.77,0,0,0,1.53
120,1.96,0,0,1.96,0,0,0,0,35.28,0,0,0,0,0,0,0,3.92,1.96,0,13.72,1.96,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0
